state,county,year,state datum (water level),acres below water level,total acreage (2000),percentage of total acreage below water level,assessed value of land below water level,assessed value of buildings/ improvements at least partly below water level,assessed value of land + improvements below water level,buildings at least partly below water level,tax parcels at least partly below water level,GEOID,variable,median_age,moe
New York,Albany,2050,mhw,15,320528,0,331192,874201,1205393,2,77,36001,B01002_001,37.8,0.2
New York,Bronx,2050,mhw,50,20007,0.0025,1.07E+07,data not available,1.07E+07,24,478,36005,B01002_001,34.2,0.1
New York,Columbia,2050,mhw,120,394207,3e-4,895153,879147,1774300,3,94,36021,B01002_001,48.2,0.3
New York,Dutchess,2050,mhw,133,496825,3e-4,3764886,6353889,1.01E+07,4,206,36027,B01002_001,42.2,0.2
New York,Greene,2050,mhw,78,425923,2e-4,341396,1005181,1346577,5,260,36039,B01002_001,45.9,0.4
New York,Kings,2050,mhw,133,32133,0.0041,9.89E+07,data not available,9.89E+07,70,492,36047,B01002_001,35.2,0.1
New York,Nassau,2050,mhw,1292,149883,0.0086,6788031,832967,7620998,353,5225,36059,B01002_001,41.7,0.1
New York,New York,2050,mhw,13,10344,0.0013,9.99E+07,data not available,9.99E+07,56,171,36061,B01002_001,37.5,0.1
New York,Orange,2050,mhw,35,508071,1e-4,1992455,data not available,1992455,8,124,36071,B01002_001,37,0.2
New York,Putnam,2050,mhw,34,158320,2e-4,547233,36023,583256,0,56,36079,B01002_001,44.2,0.2
New York,Queens,2050,mhw,338,51664,0.0065,2.16E+08,data not available,2.16E+08,211,1067,36081,B01002_001,39,0.2
New York,Rensselaer,2050,mhw,38,409415,1e-4,514995,2308394,2823389,1,120,36083,B01002_001,39.8,0.3
New York,Richmond,2050,mhw,119,29342,0.0041,1.99E+07,data not available,1.99E+07,18,394,36085,B01002_001,40.1,0.2
New York,Rockland,2050,mhw,69,105465,7e-4,4683290,4032798,8716088,22,324,36087,B01002_001,36,0.1
New York,Suffolk,2050,mhw,5492,526667,0.0104,4.58E+08,data not available,4.58E+08,893,17793,36103,B01002_001,41.5,0.1
New York,Ulster,2050,mhw,65,716788,1e-4,1974355,3093777,5068132,11,339,36111,B01002_001,44,0.1
New York,Westchester,2050,mhw,82,264870,3e-4,1.11E+07,1.65E+07,2.76E+07,44,641,36119,B01002_001,40.9,0.2
Oregon,Clackamas,2050,mhw,1,1204555,0,17415,0,17415,0,11,41005,B01002_001,41.5,0.2
Oregon,Clatsop,2050,mhw,356,663883,5e-4,data not available,data not available,data not available,0,1433,41007,B01002_001,44.2,0.4
Oregon,Columbia,2050,mhw,222,421831,5e-4,28982,25802,54784,0,978,41009,B01002_001,43.3,0.5
Oregon,Coos,2050,mhw,369,1344828,3e-4,3861490,598375,4459865,0,1844,41011,B01002_001,48.6,0.3
Oregon,Curry,2050,mhw,104,1334640,1e-4,1187083,44675,1231758,0,1135,41015,B01002_001,56.3,0.5
Oregon,Douglas,2050,mhw,116,5774674,0,485690,9675,495365,0,356,41019,B01002_001,47.1,0.3
Oregon,Lane,2050,mhw,208,2949766,1e-4,data not available,data not available,data not available,0,700,41039,B01002_001,39.4,0.2
Oregon,Lincoln,2050,mhw,287,799872,4e-4,data not available,data not available,data not available,0,1654,41041,B01002_001,51.6,0.3
Oregon,Multnomah,2050,mhw,27,268866,1e-4,5907041,2259696,8166737,0,588,41051,B01002_001,37.2,0.2
Oregon,Tillamook,2050,mhw,112,704301,2e-4,data not available,data not available,data not available,0,808,41057,B01002_001,48.1,0.5
Pennsylvania,Bucks,2050,mlw,229,367590,6e-4,237364,64639,302003,1,82,42017,B01002_001,43.9,0.2
Pennsylvania,Delaware,2050,mlw,464,105481,0.0044,data not available,data not available,data not available,6,304,42045,B01002_001,39,0.2
Pennsylvania,Philadelphia,2050,mlw,1488,92604,0.0161,5867584,3.51E+07,4.10E+07,37,327,42101,B01002_001,34.4,0.1
Rhode Island,Bristol,2050,mhw,64,14092,0.0046,data not available,data not available,data not available,3,630,44001,B01002_001,44.3,0.3
Rhode Island,Kent,2050,mhw,50,110384,5e-4,423800,1613500,2037300,5,919,44003,B01002_001,43.9,0.2
Rhode Island,Newport,2050,mhw,177,74176,0.0024,data not available,data not available,data not available,20,984,44005,B01002_001,45.2,0.3
Rhode Island,Providence,2050,mhw,111,271354,4e-4,2511804,743878,3255682,3,447,44007,B01002_001,37.4,0.1
Rhode Island,Washington,2050,mhw,518,201166,0.0026,data not available,data not available,data not available,14,3159,44009,B01002_001,44.6,0.3
South Carolina,Beaufort,2050,mhw,2561,247907,0.0103,2.73E+08,2.42E+07,2.97E+08,2,1297,45013,B01002_001,45.5,0.1
South Carolina,Charleston,2050,mhw,8072,688505,0.0117,data not available,data not available,data not available,31,4251,45019,B01002_001,37.8,0.2
South Carolina,Colleton,2050,mhw,7471,656773,0.0114,3.94E+07,2059210,4.14E+07,1,766,45029,B01002_001,42.5,0.6
South Carolina,Dorchester,2050,mhw,163,355406,5e-4,data not available,data not available,data not available,0,206,45035,B01002_001,37,0.3
South Carolina,Florence,2050,mhw,45,496364,1e-4,0,18,18,1,47,45041,B01002_001,39.2,0.4
South Carolina,Georgetown,2050,mhw,17210,509673,0.0338,data not available,data not available,data not available,8,2270,45043,B01002_001,49.5,0.2
South Carolina,Hampton,2050,mhw,173,363417,5e-4,data not available,data not available,data not available,0,26,45049,B01002_001,40,0.7
South Carolina,Horry,2050,mhw,7889,746747,0.0106,data not available,data not available,data not available,22,2230,45051,B01002_001,45.9,0.2
South Carolina,Jasper,2050,mhw,1893,407627,0.0046,data not available,data not available,data not available,0,348,45053,B01002_001,40.3,1.1
South Carolina,Marion,2050,mhw,152,306489,5e-4,95597,487,96084,0,55,45067,B01002_001,40.7,0.5
South Carolina,Williamsburg,2050,mhw,833,587589,0.0014,data not available,data not available,data not available,0,157,45089,B01002_001,43,0.5
Texas,Aransas,2050,mhhw,16961,168740,0.1005,data not available,data not available,data not available,443,3101,48007,B01002_001,50.6,1.2
Texas,Brazoria,2050,mhhw,62410,891054,0.07,5.40E+07,1.21E+09,1.26E+09,1203,13467,48039,B01002_001,35.8,0.1
Texas,Calhoun,2050,mhhw,10213,313130,0.0326,data not available,data not available,data not available,132,1946,48057,B01002_001,37.7,0.5
Texas,Cameron,2050,mhhw,18559,546129,0.034,2.87E+07,1.15E+08,1.44E+08,405,3983,48061,B01002_001,31.7,0.1
Texas,Chambers,2050,mhhw,47422,949477,0.0499,data not available,data not available,data not available,38,1528,48071,B01002_001,35.2,0.4
Texas,Fort Bend,2050,mhhw,4,566974,0,18594,3165,21759,0,32,48157,B01002_001,36.3,0.2
Texas,Galveston,2050,mhhw,26808,216683,0.1237,5.52E+08,1.82E+09,2.37E+09,4214,16528,48167,B01002_001,37.7,0.3
Texas,Hardin,2050,mhhw,170,569734,3e-4,data not available,data not available,data not available,0,12,48199,B01002_001,39.2,0.9
Texas,Harris,2050,mhhw,1665,1570775,0.0011,7.09E+07,7.86E+08,8.56E+08,289,3947,48201,B01002_001,33.5,0.1
Texas,Jackson,2050,mhhw,5497,642964,0.0085,data not available,data not available,data not available,3,657,48239,B01002_001,37.7,1
Texas,Jefferson,2050,mhhw,86681,557738,0.1554,data not available,data not available,data not available,205,2749,48245,B01002_001,36.2,0.2
Texas,Kenedy,2050,mhhw,6700,924024,0.0073,data not available,data not available,data not available,1,17,48261,B01002_001,39.7,25.1
Texas,Kleberg,2050,mhhw,3450,551696,0.0063,data not available,data not available,data not available,15,212,48273,B01002_001,28.3,0.5
Texas,Liberty,2050,mhhw,72,749565,1e-4,125952,246244,372196,2,224,48291,B01002_001,35.5,0.2
Texas,Matagorda,2050,mhhw,44495,693533,0.0642,6.27E+07,3.79E+07,1.01E+08,459,5163,48321,B01002_001,38.2,0.6
Texas,Nueces,2050,mhhw,4942,505179,0.0098,data not available,data not available,data not available,723,8245,48355,B01002_001,35.5,0.2
Texas,Orange,2050,mhhw,14048,242636,0.0579,1.20E+07,3.36E+07,4.56E+07,119,1386,48361,B01002_001,37.9,0.5
Texas,Refugio,2050,mhhw,5234,675115,0.0078,data not available,data not available,data not available,1,347,48391,B01002_001,43.3,1
Texas,San Patricio,2050,mhhw,4352,475665,0.0091,8.40E+07,2.12E+07,1.05E+08,76,975,48409,B01002_001,35.5,0.2
Texas,Victoria,2050,mhhw,148,551090,3e-4,data not available,data not available,data not available,1,52,48469,B01002_001,35.9,0.4
Texas,Willacy,2050,mhhw,20984,407362,0.0515,628205,3293948,3922153,29,384,48489,B01002_001,33,0.6
Virginia,Middlesex,2050,mlw,35614,116933,0.3046,4.57E+07,1.91E+07,6.48E+07,164,2560,51119,B01002_001,53.9,0.4
Virginia,Northumberland,2050,mlw,22476,185775,0.121,data not available,data not available,data not available,214,6055,51133,B01002_001,58.9,0.7
Virginia,Accomack,2050,mlw,13782,274707,0.0502,5.81E+07,3.80E+08,4.38E+08,84,7211,51001,B01002_001,45.9,0.6
Virginia,Virginia Beach city,2050,mlw,11190,155042,0.0722,data not available,data not available,data not available,116,5374,51810,B01002_001,36.2,0.1
Virginia,Northampton,2050,mlw,7303,115733,0.0631,4.11E+07,5514677,4.66E+07,8,2109,51131,B01002_001,49,1
Virginia,Chesapeake city,2050,mlw,4922,210026,0.0234,5.94E+07,1.09E+08,1.68E+08,37,2379,51550,B01002_001,36.9,0.2
Virginia,Lancaster,2050,mlw,1312,84220,0.0156,data not available,data not available,data not available,38,3586,51103,B01002_001,57.3,0.8
Virginia,Surry,2050,mlw,1111,178141,0.0062,4998123,767733,5765856,2,226,51181,B01002_001,49.8,0.2
Virginia,Isle of Wight,2050,mlw,743,200705,0.0037,6341955,3781498,1.01E+07,6,723,51093,B01002_001,44.3,0.3
Virginia,James City,2050,mlw,736,87471,0.0084,1.01E+07,1586203,1.17E+07,5,391,51095,B01002_001,46.5,0.4
Virginia,Richmond,2050,mlw,559,124061,0.0045,data not available,data not available,data not available,16,522,51159,B01002_001,47.3,1.5
Virginia,Prince George,2050,mlw,545,166830,0.0033,745969,382237,1128206,1,125,51149,B01002_001,37,0.4
Virginia,Essex,2050,mlw,493,165775,0.003,1217600,544764,1762364,13,319,51057,B01002_001,46.3,2
Virginia,Mathews,2050,mlw,430,56304,0.0076,1.18E+07,6178523,1.79E+07,22,1696,51115,B01002_001,54.5,1
Virginia,Poquoson city,2050,mlw,407,12915,0.0315,2.23E+07,6868092,2.91E+07,11,1044,51735,B01002_001,42.4,1.7
Virginia,York,2050,mlw,324,64976,0.005,4.01E+07,3.89E+07,7.90E+07,23,1456,51199,B01002_001,39.6,0.4
Virginia,Newport News city,2050,mlw,292,47150,0.0062,3.81E+07,9.71E+08,1.01E+09,31,795,51700,B01002_001,33.5,0.2
Virginia,Suffolk city,2050,mlw,292,297073,0.001,9923161,1.14E+07,2.13E+07,17,576,51800,B01002_001,38,0.3
Virginia,Hampton city,2050,mlw,290,28709,0.0101,2.24E+07,5.33E+08,5.55E+08,9,2272,51650,B01002_001,36.2,0.2
Virginia,King George,2050,mlw,274,115096,0.0024,data not available,data not available,data not available,5,328,51099,B01002_001,37.4,0.7
Virginia,Westmoreland,2050,mlw,274,143411,0.0019,data not available,data not available,data not available,133,1859,51193,B01002_001,48.6,0.7
Virginia,Charles City,2050,mlw,270,117924,0.0023,data not available,data not available,data not available,36,381,51036,B01002_001,50.8,0.3
Virginia,Prince William,2050,mlw,198,203995,0.001,data not available,data not available,data not available,12,105,51153,B01002_001,35.2,0.1
Virginia,King William,2050,mlw,178,172382,0.001,701721,69357,771078,0,273,51101,B01002_001,40.3,0.8
Virginia,Norfolk city,2050,mlw,178,23706,0.0075,4.88E+07,1.17E+08,1.66E+08,84,1975,51710,B01002_001,30.7,0.1
Virginia,New Kent,2050,mlw,164,130577,0.0013,data not available,data not available,data not available,1,251,51127,B01002_001,43.3,1.6
Virginia,Portsmouth city,2050,mlw,155,17890,0.0086,1.83E+07,4.29E+07,6.12E+07,36,1212,51740,B01002_001,35.3,0.2
Virginia,Gloucester,2050,mlw,154,152834,0.001,3821730,658382,4480112,2,470,51073,B01002_001,44.9,0.3
Virginia,Fairfax,2050,mlw,151,245901,6e-4,1167611,470765,1638376,22,558,51059,B01002_001,38,0.1
Virginia,Stafford,2050,mlw,122,168975,7e-4,2388665,754400,3143065,11,209,51179,B01002_001,35.5,0.2
Virginia,Caroline,2050,mlw,96,350531,3e-4,98731,36903,135634,0,39,51033,B01002_001,40.1,0.6
Virginia,Henrico,2050,mlw,78,230693,3e-4,710882,36161,747043,0,79,51087,B01002_001,38.8,0.3
Virginia,Chesterfield,2050,mlw,77,317680,2e-4,14,33927,33941,1,125,51041,B01002_001,38.9,0.3
Virginia,King and Queen,2050,mlw,66,200358,3e-4,268069,4471,272540,0,93,51097,B01002_001,46.7,1.5
Virginia,Hanover,2050,mlw,21,293708,1e-4,data not available,data not available,data not available,0,8,51085,B01002_001,42.7,0.3
Virginia,Alexandria city,2050,mlw,16,17079,9e-4,3108267,5321824,8430091,13,93,51510,B01002_001,36.8,0.2
Virginia,Richmond city,2050,mlw,11,45962,2e-4,1135238,38569,1173807,0,44,51760,B01002_001,34,0.1
Virginia,Colonial Heights city,2050,mlw,8,4041,0.0019,247432,61825,309257,0,46,51570,B01002_001,40.6,0.8
Virginia,Hopewell city,2050,mlw,7,9311,8e-4,189174,5066,194240,0,18,51670,B01002_001,36.2,0.8
Virginia,Williamsburg city,2050,mlw,7,5078,0.0015,data not available,data not available,data not available,0,15,51830,B01002_001,24.9,0.7
Virginia,Arlington,2050,mlw,5,12833,4e-4,data not available,data not available,data not available,0,7,51013,B01002_001,34.7,0.1
Virginia,Petersburg city,2050,mlw,1,12313,1e-4,13726,0,13726,0,8,51730,B01002_001,38.1,0.9
Washington,Clark,2050,mhw,29,460793,1e-4,2396536,162167,2558703,0,581,53011,B01002_001,38.4,0.1
Washington,Grays Harbor,2050,mhw,169,1202345,1e-4,1528769,4892974,6421743,0,1493,53027,B01002_001,44,0.3
Washington,Island,2050,mhw,35,129237,3e-4,1.18E+07,1013006,1.29E+07,0,4033,53029,B01002_001,44.2,0.4
Washington,Jefferson,2050,mhw,93,1151602,1e-4,1654908,1960274,3615182,0,1483,53031,B01002_001,58.3,0.7
Washington,King,2050,mhw,67,1337958,1e-4,1.69E+08,3.95E+07,2.08E+08,2,6479,53033,B01002_001,37,0.1
Washington,Pacific,2050,mhw,954,588757,0.0016,data not available,data not available,data not available,0,4224,53049,B01002_001,53.6,0.4
Washington,Pierce,2050,mhw,76,670296,1e-4,3.29E+07,3040559,3.59E+07,0,5690,53053,B01002_001,36.1,0.2
Washington,San Juan,2050,mhw,29,102656,3e-4,5234150,2348323,7582473,0,3386,53055,B01002_001,56.6,0.2
Washington,Skamania,2050,mhw,5,1064596,0,12774,1,12775,0,32,53059,B01002_001,46.6,0.5
Washington,Snohomish,2050,mhw,82,4316779,0,8922095,603100,9525195,0,2012,53061,B01002_001,38,0.2
Washington,Wahkiakum,2050,mhw,130,166497,8e-4,415315,34445,449760,0,632,53069,B01002_001,55.1,1.7
