state,county,year,state datum (water level),acres below water level,total acreage (2000),percentage of total acreage below water level,assessed value of land below water level,assessed value of buildings/ improvements at least partly below water level,assessed value of land + improvements below water level,buildings at least partly below water level,tax parcels at least partly below water level,GEOID,variable,median_age,moe,NAME 1,NAME 2,total_population,white_population,black_population,american_idian_alaskan_population,asian_population,native_hawaiian_population
California,Solano,2050,mhw,11023,837590,0.0132,1.83E+07,2.55E+07,4.37E+07,223,1230,6095,B01002_001,38.1,0.2,Solano County,California,441829,232437,61526,2215,68200,4101
California,Sonoma,2050,mhw,271,990827,3e-4,2691446,7642314,1.03E+07,12,781,6097,B01002_001,42.1,0.2,Sonoma County,California,499772,373667,8269,4395,20443,1606
California,Ventura,2050,mhw,74,1163597,1e-4,1.33E+07,2.94E+07,4.27E+07,78,499,6111,B01002_001,38.1,0.2,Ventura County,California,847263,678658,15594,6760,62190,1698
California,Yolo,2050,mhw,19,638934,0,7841,0,7841,0,9,6113,B01002_001,31,0.2,Yolo County,California,217352,150617,5847,1306,30462,955
Connecticut,Fairfield,2050,mhw,165,587829,3e-4,1920304,2.72E+08,2.74E+08,450,1273,9001,B01002_001,40.6,0.2,Fairfield County,Connecticut,943926,688856,109186,2074,50339,540
Connecticut,Hartford,2050,mhw,23,607949,0,79198,702960,782158,1,140,9003,B01002_001,40.4,0.1,Hartford County,Connecticut,893561,631471,123117,2963,47734,280
Connecticut,Middlesex,2050,mhw,529,287567,0.0018,80477,data not available,80477,137,1490,9007,B01002_001,45.7,0.1,Middlesex County,Connecticut,163053,143486,9119,312,5017,10
Connecticut,New Haven,2050,mhw,481,386072,0.0012,8720374,4.47E+07,5.34E+07,167,1716,9009,B01002_001,40.3,0.2,New Haven County,Connecticut,857513,628640,115837,1670,34656,177
Connecticut,New London,2050,mhw,354,222267,0.0016,3995097,2578430,6573527,100,1413,9011,B01002_001,41.4,0.3,New London County,Connecticut,267390,215896,15537,1650,11091,84
District of Columbia,District of Columbia,2050,mhw,152,32330,0.0047,2.15E+08,1.18E+09,1.39E+09,57,149,11001,B01002_001,34,0.1,District of Columbia,District of Columbia,692683,285857,320811,2091,27592,376
Delaware,Kent,2050,mlw,1882,365425,0.0051,296734,99003,395737,4,410,10001,B01002_001,37.7,0.4,Kent County,Delaware,176699,116954,45424,1289,3552,102
Delaware,New Castle,2050,mlw,3040,808991,0.0038,data not available,data not available,data not available,11,602,10003,B01002_001,38.4,0.2,New Castle County,Delaware,556165,357185,139960,1663,30704,182
Delaware,Sussex,2050,mlw,2573,584277,0.0044,2.31E+07,6797914,2.99E+07,91,2860,10005,B01002_001,49.6,0.1,Sussex County,Delaware,224384,184098,26918,777,2753,258
Florida,Bay,2050,mhw,1928,471458,0.0041,7.98E+07,580890,8.04E+07,96,4633,12005,B01002_001,39.8,0.3,Bay County,Florida,182161,147657,20057,636,4269,209
Florida,Brevard,2050,mhw,3858,826268,0.0047,1.26E+08,492334,1.27E+08,138,6263,12009,B01002_001,47.3,0.2,Brevard County,Florida,585507,482985,56493,1961,13854,524
