Year,player_name,last_name,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2015,"Ruggeri, Nick",Ruggeri, Nick,BRA,BRA,D,12,0,1,1,8,0,0,0,0
2015,"Simmons, Alex",Simmons, Alex,SCA,SCA,D,1,0,1,1,0,0,0,0,0
2015,"Stouros, Jordan",Stouros, Jordan,PET,PET,T,5,0,1,1,2,0,0,0,0
2015,"Thomas, Oakley",Thomas, Oakley,SNA,SNA,AP,2,0,1,1,0,0,0,0,0
2015,"Thomson AP, Keaton",Thomson AP, Keaton,MIM,MIM,,1,0,1,1,0,0,0,0,0
2015,"Tracogna, Stefan",Tracogna, Stefan,WHI,WHI,AP,6,0,1,1,2,0,0,0,0
2015,"Trottier, Jordan",Trottier, Jordan,PET,PET,T,2,0,1,1,0,0,0,0,0
2015,"Van Schepen, Luke",Van Schepen, Luke,BRA,BRA,D,20,0,1,1,6,0,0,0,0
2015,"Wagner, Ryan",Wagner, Ryan,SCA,SCA,,2,1,0,1,0,0,0,0,0
2015,"Walker, Jason",Walker, Jason,BRA,BRA,,7,0,1,1,12,0,0,0,0
2015,"Walton AP, Brett",Walton AP, Brett,MIM,MIM,D,1,1,0,1,0,0,0,0,0
2015,"Woods, Aaron",Woods, Aaron,WHI,WHI,,2,0,1,1,0,0,0,0,0
2015,"Adams, Kyle",Adams, Kyle,SCA,SCA,D,3,0,0,0,0,0,0,0,0
2015,"Armstrong, Riley",Armstrong, Riley,ORA,ORA,T,2,0,0,0,0,0,0,0,0
2015,"Bamford, Michael",Bamford, Michael,MIM,MIM,D,10,0,0,0,72,0,0,0,0
2015,"Bomberry, Tyson",Bomberry, Tyson,SNA,SNA,D,11,0,0,0,9,0,0,0,0
2015,"Boyd, Trent",Boyd, Trent,WHI,WHI,AP,1,0,0,0,0,0,0,0,0
2015,"Bragg, Justin",Bragg, Justin,PET,PET,T,2,0,0,0,0,0,0,0,0
2015,"Brosek AP, Joe",Brosek AP, Joe,MIM,MIM,,1,0,0,0,0,0,0,0,0
2015,"Brown, Dalton",Brown, Dalton,BLS,BLS,A,1,0,0,0,0,0,0,0,0
2015,"Burton, Tj",Burton, Tj,BRA,BRA,F,1,0,0,0,0,0,0,0,0
2015,"Connolly, Evan",Connolly, Evan,TOR,TOR,D,4,0,0,0,7,0,0,0,0
2015,"Coulter, Ryan",Coulter, Ryan,BUR,BUR,DT,2,0,0,0,2,0,0,0,0
2015,"Curtis, Riley",Curtis, Riley,BRA,BRA,O,1,0,0,0,0,0,0,0,0
2015,"Daniel, Spencer",Daniel, Spencer,BLS,BLS,D,4,0,0,0,0,0,0,0,0
2015,"Dayball, Jordan",Dayball, Jordan,KWE,KWE,F,1,0,0,0,0,0,0,0,0
2015,"Del Zotto, Cooper",Del Zotto, Cooper,ORA,ORA,T,1,0,0,0,6,0,0,0,0
2015,"Doxtator (AP), Kingsley",Doxtator (AP), Kingsley,KWE,KWE,,1,0,0,0,0,0,0,0,0
2015,"Dybowski, Zack",Dybowski, Zack,KWE,KWE,F,1,0,0,0,2,0,0,0,0
2015,"fernander, jeff",fernander, jeff,WHI,WHI,,2,0,0,0,2,0,0,0,0
2015,"Flanagan, Logan (AP)",Flanagan, Logan (AP),BLS,BLS,D,1,0,0,0,0,0,0,0,0
2015,"Fournier, Ryan",Fournier, Ryan,SNA,SNA,T,1,0,0,0,0,0,0,0,0
2015,"Gagne, Josh",Gagne, Josh,BRA,BRA,T,2,0,0,0,2,0,0,0,0
2015,"Garritano, Julian",Garritano, Julian,TOR,TOR,D,1,0,0,0,0,0,0,0,0
2015,"Gaulton, Tyler",Gaulton, Tyler,PET,PET,F,13,0,0,0,24,0,0,0,0
