Year,player_name,last_name,last_name_year,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists,
2017,"Brown, Travis",Brown,"Brown, 2017", Travis,ORA,ORA,F,20,9,17,26,6,3,3,0,0,
2017,"Nanticoke, Tehoka",Nanticoke,"Nanticoke, 2017", Tehoka,SNA,SNA,O,6,10,16,26,0,2,3,0,1,
2017,"Wiedemann, Adam",Wiedemann,"Wiedemann, 2017", Adam,BRA,BRA,D,19,15,11,26,4,1,1,2,0,
2017,"Blakely, Cree",Blakely,"Blakely, 2017", Cree,SCA,SCA,O,18,5,20,25,2,1,5,0,0,
2017,"Erskine, Brett",Erskine,"Erskine, 2017", Brett,SCA,SCA,O,14,12,13,25,0,0,0,0,0,
2017,"Finlay, Nick",Finlay,"Finlay, 2017", Nick,PET,PET,T,20,10,14,24,2,0,0,0,2,
2017,"Boudreau, Jake",Boudreau,"Boudreau, 2017", Jake,BRA,BRA,,20,9,14,23,33,0,1,1,2,
2017,"(AP) Keats, Bryce",(AP) Keats,"(AP) Keats, 2017", Bryce,TOR,TOR,F,16,7,16,23,42,0,2,0,1,
2017,"Watson, Dylan",Watson,"Watson, 2017", Dylan,ORA,ORA,F,10,11,12,23,6,1,3,0,0,
2017,"Vince, Kyle",Vince,"Vince, 2017", Kyle,BRA,BRA,F,18,9,13,22,16,0,0,0,0,
2017,"Hogg, Graydon",Hogg,"Hogg, 2017", Graydon,WHI,WHI,O,15,8,14,22,21,0,0,2,0,
2017,"Harris, Latrell",Harris,"Harris, 2017", Latrell,SCA,SCA,D,15,11,10,21,25,0,0,2,1,
2017,"Ham, Liam",Ham,"Ham, 2017", Liam,SCA,SCA,F,10,6,14,20,17,0,0,0,0,
2017,"Eddy, Garret",Eddy,"Eddy, 2017", Garret,PET,PET,,14,7,12,19,6,0,3,0,0,
2017,"Garlent, Holden",Garlent,"Garlent, 2017", Holden,SCA,SCA,D,13,9,10,19,2,0,0,2,0,
2017,"McCrory, Liam",McCrory,"McCrory, 2017", Liam,BLS,BLS,F,19,4,14,18,17,0,1,0,0,
2017,"Cormier, Payton",Cormier,"Cormier, 2017", Payton,MIM,MIM,,9,10,8,18,4,0,1,2,1,
2017,"Grimes AP, Colin",Grimes AP,"Grimes AP, 2017", Colin,MIM,MIM,O,13,5,13,18,8,0,1,0,0,
2017,"Cook, Keenan",Cook,"Cook, 2017", Keenan,WHI,WHI,T,20,8,9,17,19,0,0,0,0,
2017,"Jones, Ryan",Jones,"Jones, 2017", Ryan,SNA,SNA,F,4,3,14,17,0,1,1,0,2,
2017,"Walsh, Patrick",Walsh,"Walsh, 2017", Patrick,BUR,BUR,T,19,8,8,16,28,0,0,1,0,
2017,"Kennedy, Trevor",Kennedy,"Kennedy, 2017", Trevor,PET,PET,O,15,5,10,15,0,0,0,0,0,
2017,"Lane, Austin",Lane,"Lane, 2017", Austin,ORA,ORA,,6,5,10,15,0,0,1,0,0,
2017,"McLean, Brody",McLean,"McLean, 2017", Brody,TOR,TOR,F,12,3,12,15,0,0,1,0,0,
2017,"Van Schepen, Luke",Van Schepen,"Van Schepen, 2017", Luke,BRA,BRA,D,20,2,12,14,42,0,1,0,1,
2017,"Barnable, Ryan",Barnable,"Barnable, 2017", Ryan,WHI,WHI,F,19,6,8,14,6,0,0,1,3,
2017,"Commandant, Quinn",Commandant,"Commandant, 2017", Quinn,KWE,KWE,,18,8,6,14,4,0,0,0,0,
2017,"Davis, Braiden",Davis,"Davis, 2017", Braiden,ORA,ORA,T,20,10,4,14,20,0,0,1,0,
2017,"Grant, Owen",Grant,"Grant, 2017", Owen,TOR,TOR,D,20,9,5,14,26,1,1,1,0,
2017,"Gustavsen, Mitch",Gustavsen,"Gustavsen, 2017", Mitch,TOR,TOR,D,18,6,8,14,67,1,0,0,0,
2017,"Henrick, Jeff",Henrick,"Henrick, 2017", Jeff,ORA,ORA,T,13,5,9,14,29,0,0,0,0,
2017,"Hudson, Robert",Hudson,"Hudson, 2017", Robert,MIM,MIM,T,20,3,11,14,6,1,1,1,1,
2017,"McConvey, Thomas",McConvey,"McConvey, 2017", Thomas,MIM,MIM,O,17,5,9,14,2,0,0,1,2,
2017,"Wales, Mitch",Wales,"Wales, 2017", Mitch,BUR,BUR,T,20,3,11,14,10,0,0,0,1,
2017,"Yarranton, Max",Yarranton,"Yarranton, 2017", Max,PET,PET,,9,6,8,14,2,1,0,0,0,
2017,"Jones, Callum",Jones,"Jones, 2017", Callum,BUR,BUR,T,20,1,12,13,65,0,0,0,0,
2017,"Emery, Nathan",Emery,"Emery, 2017", Nathan,BUR,BUR,T,19,6,7,13,13,0,1,0,0,
2017,"Iacocca, Mackenzie",Iacocca,"Iacocca, 2017", Mackenzie,KWE,KWE,,19,8,5,13,20,0,1,1,0,
2017,"Poole, Tanner",Poole,"Poole, 2017", Tanner,BLS,BLS,T,20,3,10,13,35,0,0,0,1,
2017,"Pyke, Spencer",Pyke,"Pyke, 2017", Spencer,BLS,BLS,F,9,8,5,13,13,0,0,0,0,
2017,"Riley, Dylan",Riley,"Riley, 2017", Dylan,ORA,ORA,F,7,9,4,13,2,1,0,0,0,
2017,"Robinson, Justin",Robinson,"Robinson, 2017", Justin,BRA,BRA,D,16,6,7,13,22,2,1,0,1,
2017,"St Onge, Rylee",St Onge,"St Onge, 2017", Rylee,SCA,SCA,T,19,3,10,13,23,0,0,0,1,
2017,"Mackay, Tyler",Mackay,"Mackay, 2017", Tyler,ORA,ORA,O,9,3,9,12,2,0,0,0,0,
2017,"Kew, Andrew",Kew,"Kew, 2017", Andrew,MIM,MIM,F,2,9,3,12,2,1,0,0,0,
2017,"Ellerton, Nick",Ellerton,"Ellerton, 2017", Nick,TOR,TOR,D,20,2,9,11,11,0,0,0,0,
2017,"(AP) Wolf, Adam",(AP) Wolf,"(AP) Wolf, 2017", Adam,TOR,TOR,F,14,5,6,11,6,0,0,1,0,
2017,"Charbonneau, Steph",Charbonneau,"Charbonneau, 2017", Steph,BLS,BLS,D,13,4,7,11,8,1,2,0,0,
2017,"Davies, Mike",Davies,"Davies, 2017", Mike,SCA,SCA,T,7,3,8,11,8,0,0,0,0,
2017,"Deaken, Zack",Deaken,"Deaken, 2017", Zack,ORA,ORA,T,15,4,7,11,7,1,3,0,0,
2017,"Driscoll, Kyle",Driscoll,"Driscoll, 2017", Kyle,KWE,KWE,F,15,0,11,11,2,0,0,0,0,
2017,"Duncan, Matthew",Duncan,"Duncan, 2017", Matthew,TOR,TOR,T,16,2,9,11,12,0,1,0,0,
2017,"Kelly, Rowan",Kelly,"Kelly, 2017", Rowan,TOR,TOR,D,20,4,7,11,8,1,0,0,0,
2017,"Kilgour, Kyler",Kilgour,"Kilgour, 2017", Kyler,SCA,SCA,O,13,5,6,11,2,1,0,0,0,
2017,"Neal, Davis",Neal,"Neal, 2017", Davis,ORA,ORA,F,7,2,9,11,0,0,2,0,0,
2017,"Ogilvie, Mitch",Ogilvie,"Ogilvie, 2017", Mitch,PET,PET,T,18,2,9,11,0,0,2,0,0,
2017,"Simeoni, Tristan",Simeoni,"Simeoni, 2017", Tristan,BLS,BLS,F,7,1,10,11,0,0,1,0,0,
2017,"Jeffrey, Warren",Jeffrey,"Jeffrey, 2017", Warren,MIM,MIM,D,20,0,10,10,49,0,0,0,2,
2017,"Boissonneault, Mathieu",Boissonneault,"Boissonneault, 2017", Mathieu,WHI,WHI,D,20,0,10,10,8,0,0,0,2,
2017,"Borgatti, Andrew",Borgatti,"Borgatti, 2017", Andrew,BRA,BRA,,19,1,9,10,4,0,0,0,0,
2017,"Cote, Felix",Cote,"Cote, 2017", Felix,BLS,BLS,,8,2,8,10,9,1,0,0,0,
2017,"Craik, Wyatt",Craik,"Craik, 2017", Wyatt,WHI,WHI,T,19,5,5,10,28,0,0,0,2,
2017,"Minichiello, Marcus",Minichiello,"Minichiello, 2017", Marcus,TOR,TOR,T,19,1,9,10,24,0,0,0,0,
2017,"Rex, Josh",Rex,"Rex, 2017", Josh,SNA,SNA,F,13,2,8,10,0,0,0,0,0,
2017,"S Hill, Owen",S Hill,"S Hill, 2017", Owen,SNA,SNA,,4,4,6,10,0,0,1,1,1,
2017,"Saunders, Jacob",Saunders,"Saunders, 2017", Jacob,BUR,BUR,T,19,3,7,10,12,0,0,0,0,
2017,"Young, Zach",Young,"Young, 2017", Zach,PET,PET,T,19,0,10,10,6,0,1,0,0,
2017,"McClelland, Connor",McClelland,"McClelland, 2017", Connor,BRA,BRA,D,19,5,4,9,35,0,0,0,0,
2017,"Barrett, Trevor",Barrett,"Barrett, 2017", Trevor,BUR,BUR,O,6,3,6,9,0,1,0,0,1,
2017,"Bomberry, Tyson",Bomberry,"Bomberry, 2017", Tyson,SNA,SNA,D,14,2,7,9,29,1,1,0,0,
2017,"Booth, Percy",Booth,"Booth, 2017", Percy,SNA,SNA,O,10,6,3,9,17,0,1,0,0,
2017,"Eames, Tyler",Eames,"Eames, 2017", Tyler,WHI,WHI,T,13,4,5,9,17,0,0,0,0,
2017,"Lemieux, Hunter",Lemieux,"Lemieux, 2017", Hunter,BUR,BUR,,5,5,4,9,0,1,1,0,0,
2017,"Masson, Zac",Masson,"Masson, 2017", Zac,ORA,ORA,T,15,4,5,9,32,0,1,0,0,
2017,"Mawdsley, Eric",Mawdsley,"Mawdsley, 2017", Eric,BLS,BLS,,8,7,2,9,6,0,0,0,0,
2017,"Patten, Liam",Patten,"Patten, 2017", Liam,BLS,BLS,D,13,7,2,9,43,0,0,1,0,
2017,"Pace, Alex",Pace,"Pace, 2017", Alex,SCA,SCA,O,20,3,5,8,6,0,0,0,1,
2017,"Black, Randy",Black,"Black, 2017", Randy,ORA,ORA,T,19,2,6,8,29,0,0,0,0,
2017,"Brack, Justin",Brack,"Brack, 2017", Justin,ORA,ORA,T,11,2,6,8,18,0,1,0,0,
2017,"Garant, Andrew",Garant,"Garant, 2017", Andrew,ORA,ORA,T,8,1,7,8,2,0,0,0,0,
2017,"Hamley, Cody",Hamley,"Hamley, 2017", Cody,KWE,KWE,,18,2,6,8,29,0,0,0,0,
2017,"Hill, Chaunce",Hill,"Hill, 2017", Chaunce,SNA,SNA,,10,3,5,8,0,1,0,0,0,
2017,"Jubenville, Josh",Jubenville,"Jubenville, 2017", Josh,SNA,SNA,D,19,5,3,8,6,0,0,0,0,
2017,"Lee, Steven",Lee,"Lee, 2017", Steven,BUR,BUR,F,18,2,6,8,31,0,0,0,1,
2017,"Lyons, Brad",Lyons,"Lyons, 2017", Brad,PET,PET,D,19,6,2,8,39,1,0,0,0,
2017,"Mayea, Bryce",Mayea,"Mayea, 2017", Bryce,BUR,BUR,,7,6,2,8,17,0,0,0,0,
2017,"McCannell, Mike",McCannell,"McCannell, 2017", Mike,ORA,ORA,T,18,1,7,8,27,0,0,0,0,
2017,"Newbrough, Daire",Newbrough,"Newbrough, 2017", Daire,KWE,KWE,F,20,1,7,8,15,0,0,0,1,
2017,"Oakes, Russ",Oakes,"Oakes, 2017", Russ,SNA,SNA,F,3,2,6,8,0,0,1,0,0,
2017,"Thomson, Keaton",Thomson,"Thomson, 2017", Keaton,MIM,MIM,OD,18,4,4,8,24,1,0,0,0,
2017,"Wright, Mason",Wright,"Wright, 2017", Mason,BRA,BRA,O,3,4,4,8,0,0,0,0,0,
2017,"Staveley, Kyle",Staveley,"Staveley, 2017", Kyle,ORA,ORA,D,20,4,3,7,17,0,0,0,0,
2017,"Conley (AP), Curtis",Conley (AP),"Conley (AP), 2017", Curtis,PET,PET,,7,2,5,7,10,1,0,0,0,
2017,"Connor, Joe",Connor,"Connor, 2017", Joe,BLS,BLS,,19,2,5,7,4,0,0,0,0,
2017,"Goddard, Jordan",Goddard,"Goddard, 2017", Jordan,KWE,KWE,F,8,0,7,7,2,0,0,0,0,
2017,"Kaudfelt, Devlin",Kaudfelt,"Kaudfelt, 2017", Devlin,BLS,BLS,,6,2,5,7,0,0,0,0,0,
2017,"Suboch, Jackson",Suboch,"Suboch, 2017", Jackson,MIM,MIM,D,18,1,6,7,83,0,0,0,0,
2017,"Walker, Jason",Walker,"Walker, 2017", Jason,BRA,BRA,T,12,3,4,7,26,0,0,2,0,
2017,"Waters, Kyle",Waters,"Waters, 2017", Kyle,ORA,ORA,F,9,2,5,7,2,0,0,0,0,
2017,"Whitty, Tom",Whitty,"Whitty, 2017", Tom,SCA,SCA,D,19,4,3,7,15,0,0,0,0,
2017,"Toguri, Josh",Toguri,"Toguri, 2017", Josh,MIM,MIM,D,20,3,3,6,52,0,0,0,1,
2017,"Burton, Travis",Burton,"Burton, 2017", Travis,BRA,BRA,D,18,1,5,6,61,0,2,0,0,
2017,"Drouin, Anthony",Drouin,"Drouin, 2017", Anthony,WHI,WHI,D,16,0,6,6,16,0,0,0,0,
2017,"Garlin, Cam",Garlin,"Garlin, 2017", Cam,WHI,WHI,O,8,2,4,6,16,0,0,0,0,
2017,"Guay, Julien",Guay,"Guay, 2017", Julien,BUR,BUR,T,13,4,2,6,12,0,0,0,0,
2017,"Luis, Zack",Luis,"Luis, 2017", Zack,SCA,SCA,D,8,2,4,6,7,1,1,0,0,
2017,"MacDonald, Owen",MacDonald,"MacDonald, 2017", Owen,SNA,SNA,,5,2,4,6,0,0,1,0,0,
2017,"McKenna AP, Jordan",McKenna AP,"McKenna AP, 2017", Jordan,ORA,ORA,,6,3,3,6,0,0,0,0,0,
2017,"Monroe, Logan",Monroe,"Monroe, 2017", Logan,SCA,SCA,D,20,3,3,6,10,1,0,0,0,
2017,"Nay, John",Nay,"Nay, 2017", John,KWE,KWE,,19,4,2,6,14,0,0,0,1,
2017,"Noble (AP), Mason",Noble (AP),"Noble (AP), 2017", Mason,KWE,KWE,,19,1,5,6,31,0,0,1,0,
2017,"Sands, Parker",Sands,"Sands, 2017", Parker,PET,PET,T,20,3,3,6,14,0,0,1,0,
2017,"Schott, Ethan",Schott,"Schott, 2017", Ethan,WHI,WHI,D,15,1,5,6,37,0,0,1,0,
2017,"Szabo, Joey",Szabo,"Szabo, 2017", Joey,MIM,MIM,D,14,4,2,6,6,0,1,0,0,
2017,"Tamas, Alec",Tamas,"Tamas, 2017", Alec,SCA,SCA,D,20,1,5,6,54,0,2,0,0,
2017,"Willman, Christopher",Willman,"Willman, 2017", Christopher,ORA,ORA,T,20,2,4,6,37,0,0,0,0,
2017,"Medeiros, Josh",Medeiros,"Medeiros, 2017", Josh,BRA,BRA,D,20,2,3,5,26,0,0,0,0,
2017,"Burke, Mackenzie",Burke,"Burke, 2017", Mackenzie,BRA,BRA,T,16,1,4,5,4,0,0,0,0,
2017,"Conley, Curtis",Conley,"Conley, 2017", Curtis,TOR,TOR,,5,2,3,5,8,0,0,0,0,
2017,"Dilks, Jamie",Dilks,"Dilks, 2017", Jamie,SNA,SNA,,20,2,3,5,2,0,0,0,0,
2017,"Flanagan, Logan",Flanagan,"Flanagan, 2017", Logan,BLS,BLS,T,14,0,5,5,14,0,0,0,0,
2017,"Garlent, Holden",Garlent,"Garlent, 2017", Holden,SNA,SNA,,7,2,3,5,0,0,0,2,0,
2017,"John, Ron",John,"John, 2017", Ron,SNA,SNA,F,9,1,4,5,2,0,0,0,0,
2017,"Leggett, Edward Teddy",Leggett,"Leggett, 2017", Edward Teddy,SNA,SNA,AP,9,0,5,5,0,0,0,0,0,
2017,"Mandeville, Oriale",Mandeville,"Mandeville, 2017", Oriale,BLS,BLS,T,20,4,1,5,16,0,0,1,0,
2017,"Mayea, Devyn",Mayea,"Mayea, 2017", Devyn,BUR,BUR,D,10,2,3,5,25,0,0,0,1,
2017,"Shea, Patrick",Shea,"Shea, 2017", Patrick,BUR,BUR,O,11,0,5,5,0,0,0,0,0,
2017,"Sykes, Matthew",Sykes,"Sykes, 2017", Matthew,MIM,MIM,D,20,2,3,5,18,0,0,1,0,
2017,"Utrosa, Ben",Utrosa,"Utrosa, 2017", Ben,WHI,WHI,T,17,3,2,5,8,1,0,0,1,
2017,"Voigt, Brad",Voigt,"Voigt, 2017", Brad,SNA,SNA,,4,2,3,5,0,0,0,0,0,
2017,"Mika, John",Mika,"Mika, 2017", John,BLS,BLS,D,20,0,4,4,25,0,0,0,0,
2017,"Brand (AP), Carter",Brand (AP),"Brand (AP), 2017", Carter,PET,PET,O,3,1,3,4,15,0,1,0,0,
2017,"Cole, Connor",Cole,"Cole, 2017", Connor,KWE,KWE,F,20,3,1,4,47,0,0,0,0,
2017,"Doolittle, Kessler",Doolittle,"Doolittle, 2017", Kessler,SNA,SNA,D,13,1,3,4,45,0,0,0,0,
2017,"Doolittle, Myles",Doolittle,"Doolittle, 2017", Myles,BLS,BLS,D,17,2,2,4,10,0,0,0,0,
2017,"Guest, James",Guest,"Guest, 2017", James,MIM,MIM,D,19,0,4,4,34,0,0,0,0,
2017,"Harris, Michael",Harris,"Harris, 2017", Michael,TOR,TOR,D,16,2,2,4,2,0,0,0,0,
2017,"Inacio, Justin",Inacio,"Inacio, 2017", Justin,BUR,BUR,T,4,2,2,4,2,0,0,0,1,
2017,"Kamminga, Mason",Kamminga,"Kamminga, 2017", Mason,SCA,SCA,T,19,2,2,4,36,0,0,0,0,
2017,"Kim, Matt",Kim,"Kim, 2017", Matt,SCA,SCA,D,8,1,3,4,29,0,1,0,0,
2017,"Leclair, Liam",Leclair,"Leclair, 2017", Liam,SNA,SNA,D,9,1,3,4,2,0,1,0,0,
2017,"Mazzuca, Phil",Mazzuca,"Mazzuca, 2017", Phil,BUR,BUR,T,13,1,3,4,4,0,0,0,0,
2017,"Mitchell, Mackenzie",Mitchell,"Mitchell, 2017", Mackenzie,ORA,ORA,T,20,1,3,4,11,0,0,0,0,
2017,"Munro, Brody",Munro,"Munro, 2017", Brody,WHI,WHI,D,16,0,4,4,2,0,1,0,0,
2017,"Radbourne, Eric",Radbourne,"Radbourne, 2017", Eric,KWE,KWE,F,18,1,3,4,16,0,0,0,0,
2017,"Robinson, Mike",Robinson,"Robinson, 2017", Mike,PET,PET,,4,0,4,4,0,0,0,0,0,
2017,"Sinclair, Colin",Sinclair,"Sinclair, 2017", Colin,BLS,BLS,F,7,1,3,4,2,0,0,0,0,
2017,"Staats, Jerry",Staats,"Staats, 2017", Jerry,SNA,SNA,,18,1,3,4,45,0,0,0,0,
2017,"Stouros, Jordan",Stouros,"Stouros, 2017", Jordan,PET,PET,T,10,3,1,4,17,0,0,0,0,
2017,"Tarbell, Kason",Tarbell,"Tarbell, 2017", Kason,SNA,SNA,D,5,2,2,4,8,0,1,0,0,
2017,"Trottier (AP), Jordan",Trottier (AP),"Trottier (AP), 2017", Jordan,PET,PET,T,15,1,3,4,38,0,0,0,0,
2017,"Woodland, Kurtis",Woodland,"Woodland, 2017", Kurtis,KWE,KWE,F,2,2,2,4,0,0,0,0,0,
2017,"Hill, Brayden",Hill,"Hill, 2017", Brayden,SNA,SNA,O,20,0,3,3,4,0,0,0,0,
2017,"(AP) Lee, Jake",(AP) Lee,"(AP) Lee, 2017", Jake,TOR,TOR,D,2,0,3,3,0,0,0,0,0,
2017,"Badour (AP), Carter",Badour (AP),"Badour (AP), 2017", Carter,PET,PET,T,19,2,1,3,6,0,0,0,0,
2017,"Boehm, Jonah",Boehm,"Boehm, 2017", Jonah,KWE,KWE,D,15,0,3,3,8,0,0,0,0,
2017,"Bolger, Dawson",Bolger,"Bolger, 2017", Dawson,KWE,KWE,AP,4,0,3,3,2,0,0,0,0,
2017,"Challice, Dan",Challice,"Challice, 2017", Dan,PET,PET,D,9,1,2,3,20,0,0,0,0,
2017,"Churchill (AP), Adam",Churchill (AP),"Churchill (AP), 2017", Adam,PET,PET,,1,1,2,3,2,1,1,0,0,
2017,"Conlon, Declan (AP)",Conlon,"Conlon, 2017", Declan (AP),TOR,TOR,F,2,2,1,3,0,0,0,0,0,
2017,"Costello, Ciaron",Costello,"Costello, 2017", Ciaron,MIM,MIM,D,20,1,2,3,29,0,1,0,0,
2017,"Friesen, Owen",Friesen,"Friesen, 2017", Owen,SCA,SCA,D,15,1,2,3,4,0,0,0,0,
2017,"Gaunt, Colton",Gaunt,"Gaunt, 2017", Colton,TOR,TOR,D,12,2,1,3,2,0,0,0,0,
2017,"McConvey, Thomas",McConvey,"McConvey, 2017", Thomas,MIM,MIM,O,3,2,1,3,0,0,1,0,0,
2017,"McKinnon, Ian",McKinnon,"McKinnon, 2017", Ian,WHI,WHI,,10,1,2,3,66,0,0,0,1,
2017,"Smith (AP), Matt",Smith (AP),"Smith (AP), 2017", Matt,PET,PET,,2,0,3,3,0,0,0,0,0,
2017,"Turner, Adam",Turner,"Turner, 2017", Adam,WHI,WHI,D,16,1,2,3,28,0,0,0,0,
2017,"Woodland, Kurtis",Woodland,"Woodland, 2017", Kurtis,KWE,KWE,AP,2,1,2,3,0,0,0,0,0,
2017,"Wright, Mason",Wright,"Wright, 2017", Mason,BRA,BRA,F,1,1,2,3,12,1,0,0,0,
2017,"Macdonald, Blake",Macdonald,"Macdonald, 2017", Blake,SNA,SNA,D,20,0,2,2,2,0,0,0,0,
2017,"Asma, Michael",Asma,"Asma, 2017", Michael,KWE,KWE,AP,1,1,1,2,0,0,0,0,0,
2017,"Balawejder, Daniel",Balawejder,"Balawejder, 2017", Daniel,MIM,MIM,D,17,0,2,2,11,0,0,0,0,
2017,"Byrne, Mike",Byrne,"Byrne, 2017", Mike,TOR,TOR,D,17,2,0,2,34,0,0,0,0,
2017,"Caskenette, Jordan",Caskenette,"Caskenette, 2017", Jordan,ORA,ORA,,1,1,1,2,0,0,0,0,0,
2017,"DiClemente, Boyd",DiClemente,"DiClemente, 2017", Boyd,PET,PET,T,19,0,2,2,4,0,0,0,0,
2017,"Dominey, Scott",Dominey,"Dominey, 2017", Scott,ORA,ORA,T,3,1,1,2,0,0,0,0,0,
2017,"Haigh, Gareth",Haigh,"Haigh, 2017", Gareth,MIM,MIM,,1,1,1,2,0,0,0,0,0,
2017,"Hunt, Colin",Hunt,"Hunt, 2017", Colin,BUR,BUR,T,14,1,1,2,6,0,0,0,0,
2017,"Kim, Matt",Kim,"Kim, 2017", Matt,SCA,SCA,D,5,1,1,2,8,0,0,0,0,
2017,"Kolwich, Kyle",Kolwich,"Kolwich, 2017", Kyle,BUR,BUR,D,10,0,2,2,0,0,0,0,0,
2017,"Kromer, Adam",Kromer,"Kromer, 2017", Adam,WHI,WHI,D,15,0,2,2,8,0,0,0,0,
2017,"Laprade, Dylan",Laprade,"Laprade, 2017", Dylan,BUR,BUR,D,7,0,2,2,15,0,0,0,0,
2017,"Leclerc AP, Jon",Leclerc AP,"Leclerc AP, 2017", Jon,WHI,WHI,,1,0,2,2,0,0,0,0,1,
2017,"McBain (AP), Brody",McBain (AP),"McBain (AP), 2017", Brody,PET,PET,T,6,0,2,2,2,0,0,0,0,
2017,"Montour, Colin",Montour,"Montour, 2017", Colin,SNA,SNA,D,5,0,2,2,12,0,0,0,0,
2017,"Nishimura, Jackson",Nishimura,"Nishimura, 2017", Jackson,TOR,TOR,D,3,0,2,2,0,0,0,0,0,
2017,"Popadinac, Drew",Popadinac,"Popadinac, 2017", Drew,SCA,SCA,D,15,1,1,2,12,0,0,0,0,
2017,"Pyke, Spencer",Pyke,"Pyke, 2017", Spencer,SCA,SCA,F,7,0,2,2,2,0,0,0,0,
2017,"Redding, Austin",Redding,"Redding, 2017", Austin,BUR,BUR,,3,1,1,2,0,0,0,0,0,
2017,"Robinson, Mike",Robinson,"Robinson, 2017", Mike,PET,PET,D,3,0,2,2,2,0,0,0,0,
2017,"Rosa, Jake",Rosa,"Rosa, 2017", Jake,SNA,SNA,AP,1,0,2,2,0,0,1,0,0,
2017,"Stuckless, Nick",Stuckless,"Stuckless, 2017", Nick,ORA,ORA,T,13,1,1,2,6,0,0,0,0,
2017,"Tamlin, Matt",Tamlin,"Tamlin, 2017", Matt,PET,PET,T,11,1,1,2,6,0,0,0,0,
2017,"Yarranton, Max",Yarranton,"Yarranton, 2017", Max,PET,PET,F,1,1,1,2,0,0,0,0,0,
2017,"Morgan, Riley",Morgan,"Morgan, 2017", Riley,PET,PET,D,14,0,1,1,46,0,0,0,0,
2017,"Andrews (AP), Brendan",Andrews (AP),"Andrews (AP), 2017", Brendan,PET,PET,,1,0,1,1,0,0,0,0,0,
2017,"AP Gillis, Jordan",AP Gillis,"AP Gillis, 2017", Jordan,BUR,BUR,,2,0,1,1,0,0,0,0,0,
2017,"Bolger, Nathan",Bolger,"Bolger, 2017", Nathan,KWE,KWE,AP,2,0,1,1,0,0,0,0,0,
2017,"Bolsterli, Oliver",Bolsterli,"Bolsterli, 2017", Oliver,SNA,SNA,AP,9,0,1,1,0,0,0,0,0,
2017,"Braniff, Nate AP",Braniff,"Braniff, 2017", Nate AP,BUR,BUR,,2,0,1,1,2,0,0,0,0,
2017,"Brayton (AP), Nick",Brayton (AP),"Brayton (AP), 2017", Nick,PET,PET,,1,1,0,1,0,0,0,0,0,
2017,"Bryers AP, Josh",Bryers AP,"Bryers AP, 2017", Josh,BUR,BUR,,1,0,1,1,0,0,0,0,0,
2017,"Byrne, Mike",Byrne,"Byrne, 2017", Mike,TOR,TOR,F,3,0,1,1,7,0,0,0,0,
2017,"Chadwick, Jimmy AP",Chadwick,"Chadwick, 2017", Jimmy AP,BUR,BUR,F,2,0,1,1,0,0,0,0,0,
2017,"Cook Down, Owen",Cook Down,"Cook Down, 2017", Owen,BLS,BLS,F,13,0,1,1,30,0,0,0,0,
2017,"Daniel, Spencer",Daniel,"Daniel, 2017", Spencer,BLS,BLS,D,10,0,1,1,10,0,0,0,0,
2017,"Dilella, Matt AP",Dilella,"Dilella, 2017", Matt AP,BUR,BUR,,1,0,1,1,0,0,0,0,0,
2017,"Dol, Theo",Dol,"Dol, 2017", Theo,BRA,BRA,D,9,0,1,1,23,0,0,0,0,
2017,"Dybowski, Zack",Dybowski,"Dybowski, 2017", Zack,KWE,KWE,,10,0,1,1,0,0,0,0,0,
2017,"Eistrat AP, Pent",Eistrat AP,"Eistrat AP, 2017", Pent,MIM,MIM,,1,0,1,1,0,0,0,0,0,
2017,"Elder, Spencer AP",Elder,"Elder, 2017", Spencer AP,BUR,BUR,,1,1,0,1,0,0,0,0,0,
2017,"Firth (AP), Sam",Firth (AP),"Firth (AP), 2017", Sam,PET,PET,F,1,0,1,1,0,0,0,0,0,
2017,"Gamble, Pat AP",Gamble,"Gamble, 2017", Pat AP,BUR,BUR,,1,0,1,1,0,0,0,0,0,
2017,"Jensen, Derek",Jensen,"Jensen, 2017", Derek,KWE,KWE,AP,1,0,1,1,0,0,0,0,0,
2017,"Kumano, Riley",Kumano,"Kumano, 2017", Riley,SNA,SNA,F,3,0,1,1,12,0,0,0,0,
2017,"Layton, Brent",Layton,"Layton, 2017", Brent,BLS,BLS,F,8,0,1,1,2,0,0,0,0,
2017,"Lucier, Cory",Lucier,"Lucier, 2017", Cory,SNA,SNA,F,2,1,0,1,0,0,0,0,0,
2017,"McCullough, Jordan",McCullough,"McCullough, 2017", Jordan,WHI,WHI,D,8,1,0,1,6,0,0,0,0,
2017,"McLean (AP), Cam",McLean (AP),"McLean (AP), 2017", Cam,PET,PET,,1,0,1,1,0,0,0,0,0,
2017,"Mclean, Brody",Mclean,"Mclean, 2017", Brody,BUR,BUR,O,2,0,1,1,0,0,1,0,0,
2017,"McMillan, Jacob",McMillan,"McMillan, 2017", Jacob,SCA,SCA,D,4,1,0,1,4,0,0,0,0,
2017,"Mercey, Ben",Mercey,"Mercey, 2017", Ben,ORA,ORA,D,2,0,1,1,0,0,0,0,0,
2017,"Mercy, Ben",Mercy,"Mercy, 2017", Ben,ORA,ORA,,1,0,1,1,0,0,0,0,0,
