PLAYER,first_name,last_name,team_name,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM
COLM BARNETT,Colm,Barnett,Orangeville Northmen,4,1,2,3,0,0,0,1,2
JEREMY SEARLE,Jeremy,Searle,Orangeville Northmen,5,1,2,3,0,1,0,0,7
TEHARONHIORENS MCCOMBER,Teharonhiorens,Mccomber,Burlington Chiefs,3,0,3,3,0,0,0,0,0
LUKE DAWICK,Luke,Dawick,Oakville Buzz,4,0,3,3,0,2,0,0,0
LIAM MCGRATH,Liam,Mcgrath,Orangeville Northmen,5,0,3,3,0,0,0,0,6
MICHAEL GRACE,Michael,Grace,Burlington Chiefs,3,2,0,2,0,0,1,0,2
MITCHELL ARMSTRONG,Mitchell,Armstrong,St. Catharines Athletics,3,2,0,2,0,0,0,0,2
GEORGE PITT,George,Pitt,Burlington Chiefs,3,2,0,2,0,0,0,0,0
AIDEN LONG,Aiden,Long,Orangeville Northmen,4,2,0,2,0,0,0,0,0
NOLAN BYRNE,Nolan,Byrne,Peterborough Lakers,4,2,0,2,0,0,0,0,2
DAVID PETERKIN,David,Peterkin,Toronto Beaches,4,2,0,2,0,0,0,0,0
MICHAEL ANDERSSON,Michael,Andersson,Whitby Warriors,2,1,1,2,0,0,0,0,0
CARTER SCHOTT,Carter,Schott,Whitby Warriors,2,1,1,2,0,0,0,0,2
JAKE DARLISON,Jake,Darlison,Whitby Warriors,3,1,1,2,0,0,0,0,28
ANDREW VRADENBURG,Andrew,Vradenburg,Burlington Chiefs,3,1,1,2,0,0,0,0,0
COLE TEEPLE,Cole,Teeple,Orangeville Northmen,2,0,2,2,0,0,0,0,0
REED KURTZ,Reed,Kurtz,Mimico Mountaineers,3,0,2,2,0,0,0,0,0
DYLAN ROBINSON,Dylan,Robinson,Toronto Beaches,4,0,2,2,0,0,0,1,2
NICK CROWLEY,Nick,Crowley,Peterborough Lakers,4,0,2,2,0,0,0,0,16
JULIEN BELAIR,Julien,Belair,Orangeville Northmen,1,1,0,1,0,0,0,0,0
LUCAS LITTLEJOHN,Lucas,Littlejohn,Whitby Warriors,2,1,0,1,0,0,0,0,4
JACK OLDMAN,Jack,Oldman,Whitby Warriors,3,1,0,1,0,0,0,0,2
RILEY SIMPSON,Riley,Simpson,Peterborough Lakers,4,1,0,1,0,0,0,0,0
CHRIS HARLAND,Chris,Harland,Toronto Beaches,4,1,0,1,0,0,0,0,4
ADAM THISTLETHWAITE,Adam,Thistlethwaite,Peterborough Lakers,4,1,0,1,0,0,0,0,12
HUGH KELLEHER,Hugh,Kelleher,Oakville Buzz,5,1,0,1,1,0,0,0,9
ALEX ROUSSEL AP,Alex,Roussel,Mimico Mountaineers,1,0,1,1,0,0,0,0,0
GAVIIN SNOW,Gaviin,Snow,St. Catharines Athletics,2,0,1,1,0,0,0,0,0
MARK WATTERSÊ,Mark,Wattersê,Mimico Mountaineers,2,0,1,1,0,0,0,0,0
MATTHEW VILAS,Matthew,Vilas,Oakville Buzz,2,0,1,1,0,0,0,0,0
CAMERON PACK,Cameron,Pack,St. Catharines Athletics,2,0,1,1,0,1,0,0,2
REECE DICICCO,Reece,Dicicco,Peterborough Lakers,3,0,1,1,0,0,0,0,6
RYAN ESSENSSA,Ryan,Essenssa,Mimico Mountaineers,3,0,1,1,0,1,0,0,2
OWEN TAPPER,Owen,Tapper,Whitby Warriors,3,0,1,1,0,0,0,0,2
JAKE DOOLITTLE,Jake,Doolittle,Whitby Warriors,3,0,1,1,0,0,0,0,2
JOHN WHELLER,John,Wheller,Whitby Warriors,3,0,1,1,0,0,0,0,0
Powered byÊGamesheet Inc.,Powered,Byêgamesheet,,,,,,,,,,
