Year,player_name,last_name,first_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,"Pipher, Parker",Pipher, Parker,WHI,,20,7,19,26,10,0,2,0,0
2019,"Hiltz, Owen",Hiltz, Owen,PET,,12,15,9,24,2,1,5,0,0
2019,"Robinson, Mike",Robinson, Mike,PET,,12,17,7,24,8,6,2,0,0
2019,"Boissonneault, Mathieu",Boissonneault, Mathieu,WHI,,20,5,18,23,0,0,1,0,3
2019,"Brand, Carter",Brand, Carter,TOR,,10,9,14,23,0,0,1,0,0
2019,"Hill, Kevin Owen",Hill, Kevin Owen,SNA,,19,9,13,22,14,0,1,0,1
2019,"LeClair, Sam",LeClair, Sam,SCA,,11,10,12,22,0,1,0,0,0
2019,"X Barrett, Trevor",X Barrett, Trevor,KWE,,16,5,17,22,0,0,1,1,0
2019,"Caskenette, Jordan",Caskenette, Jordan,ORA,,18,4,17,21,19,0,1,0,0
2019,"Eames, Tyler",Eames, Tyler,WHI,,11,15,6,21,4,2,2,0,0
2019,"Limoges, Liam",Limoges, Liam,MIM,,6,8,13,21,2,1,4,0,1
2019,"Mayea, Devyn",Mayea, Devyn,BUR,,19,8,13,21,56,0,0,0,2
2019,"Westley, Sean",Westley, Sean,PET,,13,6,15,21,0,1,1,0,0
2019,"Chisholm, Connor",Chisholm, Connor,BLS,,18,15,4,19,24,6,1,0,0
2019,"Deaken, Zack",Deaken, Zack,ORA,,20,4,15,19,22,0,1,0,0
2019,"Hendrycks, Tyler",Hendrycks, Tyler,PET,,14,5,14,19,4,1,0,0,1
2019,"Raposo, Jakson",Raposo, Jakson,TOR,,20,10,9,19,30,0,0,1,0
2019,"Robinson, Luke",Robinson, Luke,BUR,,14,11,8,19,0,1,1,0,0
2019,"Sunderland, Zac",Sunderland, Zac,BRA,,11,6,13,19,0,0,1,0,0
2019,"John, Ron",John, Ron,SNA,,19,11,7,18,8,0,1,5,0
2019,"McCannell, Mike",McCannell, Mike,ORA,,17,6,12,18,2,0,0,0,2
