PLAYER,TEAM,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM
REED KURTZ,Mimico Mountaineers,3,0,2,2,0,0,0,0,0
DYLAN ROBINSON,Toronto Beaches,4,0,2,2,0,0,0,1,2
NICK CROWLEY,Peterborough Lakers,4,0,2,2,0,0,0,0,16
JULIEN BELAIR,Orangeville Northmen,1,1,0,1,0,0,0,0,0
LUCAS LITTLEJOHN,Whitby Warriors,2,1,0,1,0,0,0,0,4
JACK OLDMAN,Whitby Warriors,3,1,0,1,0,0,0,0,2
RILEY SIMPSON,Peterborough Lakers,4,1,0,1,0,0,0,0,0
CHRIS HARLAND,Toronto Beaches,4,1,0,1,0,0,0,0,4
ADAM THISTLETHWAITE,Peterborough Lakers,4,1,0,1,0,0,0,0,12
HUGH KELLEHER,Oakville Buzz,5,1,0,1,1,0,0,0,9
ALEX ROUSSEL AP,Mimico Mountaineers,1,0,1,1,0,0,0,0,0
GAVIIN SNOW,St. Catharines Athletics,2,0,1,1,0,0,0,0,0
MARK WATTERS ,Mimico Mountaineers,2,0,1,1,0,0,0,0,0
MATTHEW VILAS,Oakville Buzz,2,0,1,1,0,0,0,0,0
CAMERON PACK,St. Catharines Athletics,2,0,1,1,0,1,0,0,2
REECE DICICCO,Peterborough Lakers,3,0,1,1,0,0,0,0,6
RYAN ESSENSSA,Mimico Mountaineers,3,0,1,1,0,1,0,0,2
OWEN TAPPER,Whitby Warriors,3,0,1,1,0,0,0,0,2
JAKE DOOLITTLE,Whitby Warriors,3,0,1,1,0,0,0,0,2
JOHN WHELLER,Whitby Warriors,3,0,1,1,0,0,0,0,0
Powered by Gamesheet Inc.,,,,,,,,,,
