PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
NICK D'AMICO,Burlington Chiefs,1,0,0,0,0,,0,0,0,0
TRAY MILLER,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
TREY JIMERSON,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
NATHAN MACDONALD,Mimico Mountaineers,1,0,0,0,0,,0,0,0,0
COREY SOMERS,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
KYLE ERVINE,Toronto Beaches,1,0,0,0,0,,0,0,0,0
RILEY ROGERS,Toronto Beaches,1,0,0,0,0,,0,0,0,0
ISAAC HOTRUM,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
BRODIE ROBERTS,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
JACK BUCKNELL,Toronto Beaches,1,0,0,0,0,,0,0,0,0
CARTER DRYNAN,Toronto Beaches,1,0,0,0,0,,0,0,0,0
KADEN BRENNAN,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
MERRICK SANDS,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
SCOTT ARSENAULT,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
COLE LESTER,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
EASTON MCCAFFERTY,Whitby Warriors,1,0,0,0,0,,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,1,0,0,0,0,,0,0,0,0
KEAGAN WALTON,Peterborough Lakers,1,0,0,0,2,,0,0,0,0
OLIVER HAZELWOOD,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
REAGAN MARTINELL,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
BECKER LIPPERT,Oakville Buzz,1,0,0,0,0,,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,1,0,0,0,7,,0,0,0,0
BEN BAKER,Brampton Excelsiors,1,0,0,0,0,,0,0,0,0
TAYTON SKYE,Six Nations Arrows,1,0,0,0,2,,0,0,0,0
NICK THOMAS,Brampton Excelsiors,1,0,0,0,0,,0,0,0,0
BENCH PENALTY,St. Catharines Athletics,1,0,0,0,2,,0,0,0,0
TEISON MCGREGOR,St. Catharines Athletics,1,0,0,0,0,,0,0,0,0
CAM WHEELDON,Oakville Buzz,1,0,0,0,0,,0,0,0,0
LEYTON SOWDEN,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
BRENDAN BOYLE,Burlington Chiefs,1,0,0,0,17,,0,0,0,0
JAKE BARKLEY,Orangeville Northmen,1,0,0,0,0,,0,0,0,0
SAM BOWLING,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
MATTHEW HERTNERT,Burlington Chiefs,1,0,0,0,4,,0,0,0,0
KAYDEN TAPP,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
CALEB CONNELL,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
JACK MOORES,St. Catharines Athletics,1,0,0,0,2,,0,0,0,0
JOSH MANNING,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
OWEN WILLIAMS AP,Mimico Mountaineers,1,0,0,0,0,,0,0,0,0
BAILEY ROLPH,Kitchener-Waterloo,2,0,0,0,2,,0,0,0,0
KALEB PARKHURST,Peterborough Lakers,2,0,0,0,0,,0,0,0,0
DUNCAN CARTE,Burlington Chiefs,2,0,0,0,12,,0,0,0,0
SHATEKAIENTHON VANDOMMLEN,Six Nations Arrows,2,0,0,0,5,,0,0,0,0
NOLAN CANDY,Kitchener-Waterloo,2,0,0,0,0,,0,0,0,0
LUCAS RENZETTI,Oakville Buzz,2,0,0,0,4,,0,0,0,0
PARKER VANDEBOOM,Kitchener-Waterloo,2,0,0,0,0,,0,0,0,0
NOLAN POWER,Oakville Buzz,2,0,0,0,0,,0,0,0,0
CAL ANDERSON,Six Nations Arrows,2,0,0,0,0,,0,0,0,0
ETHAN KELEHER,Oakville Buzz,2,0,0,0,2,,0,0,0,0
JUSTIN BELLEPERCHE,Peterborough Lakers,2,0,0,0,0,,0,0,0,0
RYAN ANDREWS,St. Catharines Athletics,2,0,0,0,0,,0,0,0,0
MICK MILLER,Six Nations Arrows,2,0,0,0,0,,0,0,0,0
MATT DARROCH,Oakville Buzz,2,0,0,0,2,,0,0,0,0
AIDEN ARSENAULT,St. Catharines Athletics,2,0,0,0,0,,0,0,0,0
LEROY RYAN JAMIESON,Six Nations Arrows,2,0,0,0,2,,0,0,0,0
AIDEN OTOOLE,Orangeville Northmen,2,0,0,0,4,,0,0,0,0
TY VAN WART,Orangeville Northmen,3,0,0,0,2,,0,0,0,0
RYAN OLIN,Whitby Warriors,3,0,0,0,4,,0,0,0,0
CARTER FROST,Peterborough Lakers,3,0,0,0,4,,0,0,0,0
TREYTON WEINSTEIN,Kitchener-Waterloo,3,0,0,0,2,,0,0,0,0
MAX BROOK,St. Catharines Athletics,3,0,0,0,0,,0,0,0,0
TYLER FLETCHER,Kitchener-Waterloo,3,0,0,0,6,,0,0,0,0
ANDREW KIDD,Toronto Beaches,3,0,0,0,0,,0,0,0,0
NICK DAMICO,Burlington Chiefs,3,0,0,0,0,,0,0,0,0
SEAN MCMAHON,Toronto Beaches,3,0,0,0,0,,0,0,0,0
COLBY WOOD,Peterborough Lakers,3,0,0,0,0,,0,0,0,0
SHELDON BROUGHTON,Toronto Beaches,3,0,0,0,0,,0,0,0,0
KENNY PORTER,Six Nations Arrows,3,0,0,0,0,,0,0,0,0
DEREK KOHUT,"Six Nations Arrows , Burlington Chiefs",4,0,0,0,2,,0,0,0,0
Six Nations Arrows,81,0,0,0,0,0,,0,0,0,0
Burlington Chiefs,21,0,0,0,0,0,,0,0,0,2
KAEDEN BURGER,Kitchener-Waterloo,4,0,0,0,0,,0,0,0,0
KAEDEN BURGER,Kitchener-Waterloo,4,0,0,0,2,,0,0,0,0
ROBERT MORGAN,Kitchener-Waterloo,5,0,0,0,0,,0,0,0,0
RYAN BARKER,Oakville Buzz,5,0,0,0,10,,0,0,0,0
SHAWN GLOVER-NOAH,Kitchener-Waterloo,5,0,0,0,2,,0,0,0,0
BRENDAN BOYLE,Burlington Chiefs,5,0,0,0,2,,0,0,0,0
JAKE ARGUE,Orangeville Northmen,5,0,0,0,0,,0,0,0,0
NICK MCCLURE,Brampton Excelsiors,7,0,0,0,2,,0,0,0,0
CARTER GEOFFROY,St. Catharines Athletics,8,0,0,0,8,,0,0,0,0
JACOB RAWSON,St. Catharines Athletics,8,0,0,0,10,,0,0,0,0
KYLE MCMILLAN,Burlington Chiefs,8,0,0,0,0,,0,0,0,0
KAEL CAREY,Oakville Buzz,9,0,0,0,0,,0,0,0,0
DAVIS LONGELADE,St. Catharines Athletics,13,0,0,0,33,,0,0,0,0
TRENT JACKSON,Oakville Buzz,13,0,0,0,29,,0,0,0,0
JAMIE HUNT,Orangeville Northmen,13,0,0,0,15,,0,0,0,0
MICHAEL BILLINGS,Kitchener-Waterloo,16,0,0,0,31,,0,0,0,0
BENCH PENALTY,"Toronto Beaches , Oakville Buzz",19,0,0,0,6,,0,0,0,0
Toronto Beaches,99,0,0,0,0,0,,0,0,0,4
Oakville Buzz,99,0,0,0,0,0,,0,0,0,2
BENCH PENALTY,"Burlington Chiefs , Peterborough Lakers",21,0,0,0,20,,0,0,0,0
Burlington Chiefs,99,0,0,0,0,0,,0,0,0,2
Peterborough Lakers,99,0,0,0,0,0,,0,0,0,18
BENCH PENALTY,"Brampton Excelsiors , Mimico Mountaineers",36,0,0,0,32,,0,0,0,0
Brampton Excelsiors,"88, 99",0,0,0,0,0,,0,0,0,10
Mimico Mountaineers,"88, 99",0,0,0,0,0,,0,0,0,22
BENCH PENALTY,"Whitby Warriors , Kitchener-Waterloo",36,0,0,0,24,,0,0,0,0
Whitby Warriors,99,0,0,0,0,0,,0,0,0,12
Kitchener-Waterloo,99,0,0,0,0,0,,0,0,0,12
