PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
ONENIOTEKOWA MARACLE,Six Nations Arrows,10,11,11,22,11,,1,0,1,0
RYAN BROOKS,Kitchener-Waterloo,14,11,11,22,2,,2,5,1,0
MASON HILL,Six Nations Arrows,20,6,16,22,14,,3,6,0,2
TYLER HENDRYCKS,Peterborough Lakers,13,12,9,21,8,,2,4,0,0
JAKE DARLISON,Whitby Warriors,18,7,13,20,10,,0,0,0,1
JACK OLDMAN,Whitby Warriors,17,10,9,19,11,,0,0,0,0
LUCAS FERRIERA,Brampton Excelsiors,7,4,15,19,2,,3,2,1,3
MARK WATTERS ,Mimico Mountaineers,10,4,15,19,0,,0,6,0,0
LUCAS LITTLEJOHN,Whitby Warriors,14,9,9,18,2,,1,1,1,0
JACOB POWER,Burlington Chiefs,9,6,12,18,14,,5,2,0,0
JOSH ROSA,Kitchener-Waterloo,7,10,7,17,0,,2,1,4,2
AMOS WHITCOMB,Oakville Buzz,7,7,10,17,0,,2,3,0,2
NICK CROWLEY,Peterborough Lakers,16,7,10,17,18,,0,1,0,1
GAVIIN SNOW,St. Catharines Athletics,9,4,13,17,11,,1,6,0,1
AIDEN LONG,Orangeville Northmen,16,13,3,16,23,,0,0,0,0
COHEN JENNINGS,Orangeville Northmen,19,8,8,16,6,,3,1,0,0
REED KURTZ,Mimico Mountaineers,18,7,9,16,2,,1,0,0,0
MALIKYE GOOD,Oakville Buzz,7,6,10,16,0,,0,4,0,0
RYCOL DAVIS,Six Nations Arrows,18,6,10,16,48,,0,1,1,0
TRISTEN DEMPERS,Whitby Warriors,18,5,11,16,22,,1,0,0,0
CURTIS GODDARD,Oakville Buzz,19,5,11,16,18,,0,2,0,0
TANNER COLE,Oakville Buzz,19,2,14,16,8,,0,4,0,0
OWEN TAPPER,Whitby Warriors,18,8,7,15,22,,1,0,0,0
DYLAN ROBINSON,Toronto Beaches,18,6,9,15,29,,0,0,1,0
CODY COULSON,Orangeville Northmen,11,8,6,14,4,,2,3,0,0
JACK TRAVASSOS,Burlington Chiefs,19,8,6,14,25,,0,0,1,0
CARTER ACCURSI,St. Catharines Athletics,14,6,8,14,0,,0,0,1,0
DANTE BOWEN,Brampton Excelsiors,16,8,5,13,13,,2,0,1,0
SCOTT REED,Whitby Warriors,19,4,9,13,33,,0,0,0,3
CARTER BEGLEY AP,Mimico Mountaineers,8,3,10,13,2,,1,3,0,1
BRYCE CORDINGLEY,Mimico Mountaineers,17,3,10,13,61,,1,1,1,2
BRODY CASKENETTE,Mimico Mountaineers,17,2,11,13,6,,1,0,0,2
HUGH KELLEHER,Oakville Buzz,9,10,2,12,6,,1,0,2,0
BEN TRUMBLE,Peterborough Lakers,16,7,5,12,10,,3,1,1,1
GREG PALMER,Toronto Beaches,7,6,6,12,7,,0,0,0,1
MATTHEW ACCHIONE,Toronto Beaches,11,5,7,12,4,,0,3,1,0
LIAM MCGRATH,Orangeville Northmen,18,3,9,12,27,,0,0,0,0
TAYLOR DOOLEY,Toronto Beaches,19,3,9,12,23,,1,2,1,0
PEYTIN WALLACE,Whitby Warriors,19,0,12,12,38,,0,0,0,2
OWEN VANLOON,Six Nations Arrows,12,7,4,11,20,,1,1,0,1
ZANE DALPE,Kitchener-Waterloo,3,6,5,11,0,,2,0,0,0
ALEXIS SIMARD,Burlington Chiefs,19,5,6,11,39,,0,1,0,1
TY MYERS,Six Nations Arrows,7,3,8,11,2,,1,2,0,0
LIAM KEANE,Brampton Excelsiors,12,5,5,10,4,,0,2,0,0
MATT HAMILL,Six Nations Arrows,15,5,5,10,2,,0,0,1,0
JAKE WRIGHT,Oakville Buzz,10,4,6,10,14,,0,4,1,0
HUDSON THOMPSON,Mimico Mountaineers,19,3,7,10,24,,1,2,0,0
MASON TARDIFF,Peterborough Lakers,8,2,8,10,2,,1,3,0,0
BRENDAN ANDERSON,Six Nations Arrows,4,6,3,9,16,,1,1,0,0
DAVID PETERKIN,Toronto Beaches,14,6,3,9,8,,1,0,0,0
JOSH FAIREY,Toronto Beaches,16,5,4,9,8,,0,0,0,1
OWEN RAHN,Orangeville Northmen,17,4,5,9,35,,0,1,1,0
NATE RUFF,Orangeville Northmen,19,4,5,9,8,,1,0,0,0
LUCAS FERREIRA,Oakville Buzz,8,3,6,9,4,,0,1,0,0
NICHOLAS VOLKOV,Burlington Chiefs,16,2,7,9,47,,0,0,0,0
ADAM THISTLETHWAITE,Peterborough Lakers,16,2,7,9,24,,1,2,0,2
MATTHEW VILAS,Oakville Buzz,17,2,7,9,2,,1,1,0,0
NATHAN POULIOT,Toronto Beaches,3,1,8,9,2,,0,0,0,0
JACK PAROLIN,Toronto Beaches,12,1,8,9,2,,0,0,0,0
PEYTON MCINTOSH,St. Catharines Athletics,19,1,8,9,12,,0,2,0,1
SAM DRAMITZKE,Kitchener-Waterloo,4,5,3,8,0,,1,1,0,2
ANDREW DALTON,Toronto Beaches,9,5,3,8,13,,0,0,0,0
TOM COLLINS,Peterborough Lakers,15,5,3,8,24,,3,0,0,0
