PLAYER,first_name,last_name,player_new 1 3,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
MICHAEL ANDERSSON,Michael,Andersson,,Whitby Warriors,F,11,12,18,30,0,4,3,0,4
MICHAEL BLAYMIRES,Michael,Blaymires,,Peterborough Lakers,F,15,12,18,30,2,1,6,1,0
GEORGE PITT,George,Pitt,,Burlington Chiefs,F,13,10,20,30,6,3,2,0,0
LUKE DAWICK,Luke,Dawick,,Oakville Buzz,F,17,9,21,30,0,4,9,1,1
CAM SANDERSON,Cam,Sanderson,,Orangeville Northmen,F,11,7,23,30,4,3,3,1,0
JAKE DAWICK,Jake,Dawick,,Oakville Buzz,F,14,7,23,30,6,0,6,1,2
CHRIS RATHWELL,Chris,Rathwell,,Kitchener-Waterloo,Ð,14,15,13,28,6,2,5,2,1
ZACH MILLER,Zach,Miller,,Toronto Beaches,Ð,14,9,19,28,6,1,1,2,2
ALEX GASTON,Alex,Gaston,,Toronto Beaches,F,12,13,13,26,19,0,1,1,1
SHANE HALLIWELL,Shane,Halliwell,,Kitchener-Waterloo,Ð,9,11,15,26,23,0,5,4,3
LOWEN MARTIN,Lowen,Martin,,Kitchener-Waterloo,Ð,14,11,15,26,6,5,5,0,1
JACK BUDWAY,Jack,Budway,,Whitby Warriors,F,13,7,19,26,6,1,5,0,1
ALEX ROUSSEL AP,Alex,Roussel,Ap,Mimico Mountaineers,F,14,9,16,25,8,3,4,1,3
EFRAIN BARRETO,Efrain,Barreto,,St. Catharines Athletics,F,13,3,22,25,21,1,8,0,1
XAVIER TAYLOR,Xavier,Taylor,,St. Catharines Athletics,F,11,16,7,23,15,4,1,1,0
ALEXANDER MARINIER,Alexander,Marinier,,Burlington Chiefs,D,6,12,11,23,4,2,4,0,1
NICK DILAURO,Nick,Dilauro,,Peterborough Lakers,"F, T",15,11,12,23,0,1,2,0,1
ONENIOTEKOWA MARACLE,Oneniotekowa,Maracle,,Six Nations Arrows,F,10,11,11,22,11,1,0,1,0
RYAN BROOKS,Ryan,Brooks,,Kitchener-Waterloo,Ð,14,11,11,22,2,2,5,1,0
MASON HILL,Mason,Hill,,Six Nations Arrows,"D, F",20,6,16,22,14,3,6,0,2
TYLER HENDRYCKS,Tyler,Hendrycks,,Peterborough Lakers,F,13,12,9,21,8,2,4,0,0
JAKE DARLISON,Jake,Darlison,,Whitby Warriors,D,18,7,13,20,10,0,0,0,1
JACK OLDMAN,Jack,Oldman,,Whitby Warriors,F,17,10,9,19,11,0,0,0,0
LUCAS FERRIERA,Lucas,Ferriera,,Brampton Excelsiors,F,7,4,15,19,2,3,2,1,3
MARK WATTERSÊ,Mark,Wattersê,,Mimico Mountaineers,Ð,10,4,15,19,0,0,6,0,0
LUCAS LITTLEJOHN,Lucas,Littlejohn,,Whitby Warriors,F,14,9,9,18,2,1,1,1,0
JACOB POWER,Jacob,Power,,Burlington Chiefs,F,9,6,12,18,14,5,2,0,0
JOSH ROSA,Josh,Rosa,,Kitchener-Waterloo,F,7,10,7,17,0,2,1,4,2
AMOS WHITCOMB,Amos,Whitcomb,,Oakville Buzz,F,7,7,10,17,0,2,3,0,2
NICK CROWLEY,Nick,Crowley,,Peterborough Lakers,D,16,7,10,17,18,0,1,0,1
GAVIIN SNOW,Gaviin,Snow,,St. Catharines Athletics,"F, T",9,4,13,17,11,1,6,0,1
AIDEN LONG,Aiden,Long,,Orangeville Northmen,F,16,13,3,16,23,0,0,0,0
COHEN JENNINGS,Cohen,Jennings,,Orangeville Northmen,T,19,8,8,16,6,3,1,0,0
REED KURTZ,Reed,Kurtz,,Mimico Mountaineers,T,18,7,9,16,2,1,0,0,0
MALIKYE GOOD,Malikye,Good,,Oakville Buzz,F,7,6,10,16,0,0,4,0,0
RYCOL DAVIS,Rycol,Davis,,Six Nations Arrows,D,18,6,10,16,48,0,1,1,0
TRISTEN DEMPERS,Tristen,Dempers,,Whitby Warriors,D,18,5,11,16,22,1,0,0,0
CURTIS GODDARD,Curtis,Goddard,,Oakville Buzz,T,19,5,11,16,18,0,2,0,0
TANNER COLE,Tanner,Cole,,Oakville Buzz,T,19,2,14,16,8,0,4,0,0
