PLAYER,first_name,last_name,player_new 1 3,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
CHRIS HARLAND,Chris,Harland,,Toronto Beaches,D,12,1,1,2,0,0,0,0,0
ANDREW HORSLEY,Andrew,Horsley,,Brampton Excelsiors,T,14,1,1,2,34,0,0,0,0
NEAL ADAMSON,Neal,Adamson,,Brampton Excelsiors,D,14,1,1,2,36,0,0,0,0
KOBE HANDSOR,Kobe,Handsor,,Whitby Warriors,D,18,1,1,2,12,0,1,0,0
JAYDEN BUSHEY,Jayden,Bushey,,Peterborough Lakers,F,1,0,2,2,0,0,2,0,0
JARED DOWNEY,Jared,Downey,,Orangeville Northmen,F,1,0,2,2,0,0,0,0,0
CURTIS MARTIN,Curtis,Martin,,Peterborough Lakers,Ð,1,0,2,2,0,0,0,0,0
ZACH GIGNAC,Zach,Gignac,,Oakville Buzz,F,1,0,2,2,0,0,0,0,0
COOPER DAY-ALLISON,Cooper,Day-allison,,Burlington Chiefs,Ð,1,0,2,2,0,0,0,0,1
ZACH MCDONALD,Zach,Mcdonald,,Burlington Chiefs,Ð,3,0,2,2,4,0,0,0,0
BRETT VINCE,Brett,Vince,,Kitchener-Waterloo,Ð,7,0,2,2,0,0,0,0,0
KENNY SPROAT,Kenny,Sproat,,Burlington Chiefs,D,15,0,2,2,8,0,0,0,0
BO DOXTATOR,Bo,Doxtator,,Six Nations Arrows,D,17,0,2,2,32,0,0,0,0
AIDEN FEARN,Aiden,Fearn,,Six Nations Arrows,D,18,0,2,2,45,0,0,0,0
JAKE DOOLITTLE,Jake,Doolittle,,Whitby Warriors,D,18,0,2,2,8,0,0,0,1
ANSELMO REGO AP,Anselmo,Rego,Ap,Mimico Mountaineers,T,1,1,0,1,0,1,0,0,0
GAGE NOSEWORTHY,Gage,Noseworthy,,Orangeville Northmen,D,1,1,0,1,2,0,0,0,0
ALEX POLISOTO,Alex,Polisoto,,St. Catharines Athletics,F,1,1,0,1,0,0,0,1,0
ZACH LEFEBVRE,Zach,Lefebvre,,Peterborough Lakers,Ð,1,1,0,1,0,1,0,0,0
JEREMY FANCETT,Jeremy,Fancett,,Brampton Excelsiors,F,1,1,0,1,0,0,0,0,0
JEREMY FANCETT,Jeremy,Fancett,,Brampton Excelsiors,F,1,1,0,1,0,0,0,0,0
COLE TUCKER,Cole,Tucker,,Whitby Warriors,F,1,1,0,1,0,1,0,0,0
NICK BAFIA,Nick,Bafia,,Orangeville Northmen,F,1,1,0,1,0,0,0,0,0
EOIN MACKAY,Eoin,Mackay,,Toronto Beaches,Ð,1,1,0,1,0,0,0,1,0
MICAHEL GREEN,Micahel,Green,,Peterborough Lakers,Ð,2,1,0,1,4,0,0,0,0
KALEB MALYON,Kaleb,Malyon,,Six Nations Arrows,D,3,1,0,1,8,0,0,0,0
MYLES NEWPORT,Myles,Newport,,Oakville Buzz,D,3,1,0,1,0,0,0,0,0
BOBBY CROWE,Bobby,Crowe,,Peterborough Lakers,D,4,1,0,1,2,1,0,0,0
JONATHAN GAGLIARDI,Jonathan,Gagliardi,,Oakville Buzz,T,6,1,0,1,8,0,0,0,0
CALLYN MARTIN,Callyn,Martin,,Kitchener-Waterloo,D,7,1,0,1,4,0,0,0,0
JACOB GARCIA,Jacob,Garcia,,Brampton Excelsiors,D,7,1,0,1,8,0,0,0,0
FRANK COYLE,Frank,Coyle,,Peterborough Lakers,F,7,1,0,1,2,0,0,0,0
MAX SKENE,Max,Skene,,Burlington Chiefs,D,11,1,0,1,0,0,0,1,0
NOLAN KENNEY,Nolan,Kenney,,"Orangeville NorthmenÊ,ÊKitchener-Waterloo",D,12,1,0,1,14,0,0,0,0
Orangeville Northmen,Orangeville,Northmen,,71,5,0,0,0,0,0,0,0,0,4
Kitchener-Waterloo,Kitchener-waterloo,,,"4, 7",7,1,0,1,0,0,0,0,0,10
BAILEY KIRWIN,Bailey,Kirwin,,Toronto Beaches,Ð,14,1,0,1,10,0,0,0,0
MICHAEL WILSON,Michael,Wilson,,St. Catharines Athletics,D,16,1,0,1,14,0,0,0,0
TRENT ROBERTSON,Trent,Robertson,,Brampton Excelsiors,D,17,1,0,1,83,0,0,0,0
REID LOWE,Reid,Lowe,,St. Catharines Athletics,D,20,1,0,1,4,1,0,0,0
MATT PERREIRA,Matt,Perreira,,Brampton Excelsiors,F,1,0,1,1,0,0,0,0,0
CARTER TAITE,Carter,Taite,,Peterborough Lakers,Ð,1,0,1,1,0,0,0,0,0
NOBLE STONEFISH,Noble,Stonefish,,Six Nations Arrows,D,1,0,1,1,2,0,0,0,0
NOLAN BYRNE,Nolan,Byrne,,Peterborough Lakers,Ð,1,0,1,1,0,0,1,0,0
LIAM BUCKNELL,Liam,Bucknell,,Toronto Beaches,Ð,1,0,1,1,2,0,1,0,0
JAMESON STEELE,Jameson,Steele,,Oakville Buzz,F,1,0,1,1,0,0,0,0,0
CHUCK RAWSON,Chuck,Rawson,,Burlington Chiefs,Ð,1,0,1,1,0,0,0,0,0
KAYMEN DIABO,Kaymen,Diabo,,Orangeville Northmen,F,1,0,1,1,0,0,0,0,0
DEELAND MARTIN,Deeland,Martin,,Six Nations Arrows,F,1,0,1,1,0,0,0,0,1
CURTIS WARD,Curtis,Ward,,Brampton Excelsiors,Ð,1,0,1,1,0,0,0,0,0
MASON BLACKTOPP,Mason,Blacktopp,,Toronto Beaches,Ð,2,0,1,1,0,0,0,0,0
ZACH SHEPPARD,Zach,Sheppard,,Whitby Warriors,D,2,0,1,1,2,0,0,0,0
CODY INNES,Cody,Innes,,Burlington Chiefs,Ð,2,0,1,1,0,0,0,0,0
SAM ALBERT,Sam,Albert,,Peterborough Lakers,Ð,2,0,1,1,0,0,1,0,0
CHRIS WONG,Chris,Wong,,St. Catharines Athletics,F,3,0,1,1,0,0,0,0,0
JACOB KELLER AP,Jacob,Keller,Ap,Mimico Mountaineers,T,3,0,1,1,0,0,0,0,1
LANDON SINFIELD,Landon,Sinfield,,Peterborough Lakers,Ð,3,0,1,1,0,0,0,0,0
BRYDEN PITT AP,Bryden,Pitt,Ap,Mimico Mountaineers,T,5,0,1,1,0,0,0,0,0
KEITH GREEN,Keith,Green,,Six Nations Arrows,T,6,0,1,1,10,0,0,0,0
BEN MCISAACÊ,Ben,Mcisaacê,,Mimico Mountaineers,T,6,0,1,1,0,0,0,0,0
GRAYDON STOKES,Graydon,Stokes,,Orangeville Northmen,D,6,0,1,1,8,0,0,0,0
LOGAN FLETCHER,Logan,Fletcher,,St. Catharines Athletics,T,7,0,1,1,2,0,0,0,0
MATT SCHELL,Matt,Schell,,Toronto Beaches,Ð,7,0,1,1,8,0,1,0,0
HAYDEN HILTZ,Hayden,Hiltz,,Burlington Chiefs,Ð,7,0,1,1,0,0,0,0,0
CALLUM MCLEOD,Callum,Mcleod,,Whitby Warriors,D,8,0,1,1,2,0,1,0,0
BRODY THOMAS,Brody,Thomas,,Six Nations Arrows,T,8,0,1,1,2,0,0,0,0
JAMES GOWLAND,James,Gowland,,Six Nations Arrows,D,8,0,1,1,10,0,1,0,0
CARTER SCHOTT,Carter,Schott,,Whitby Warriors,D,12,0,1,1,40,0,0,0,0
CADEN HEWITT,Caden,Hewitt,,Toronto Beaches,Ð,18,0,1,1,12,0,0,0,0
OWEN CIAVOLEILLO,Owen,Ciavoleillo,,Brampton Excelsiors,D,18,0,1,1,6,0,0,0,0
RILEY DELILL,Riley,Delill,,Brampton Excelsiors,D,20,0,1,1,53,0,0,0,0
DANNY NEILSON,Danny,Neilson,,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
ISAIAH SKIDDERS,Isaiah,Skidders,,Six Nations Arrows,F,1,0,0,0,0,0,0,0,0
ZACH PIPHER,Zach,Pipher,,Whitby Warriors,D,1,0,0,0,2,0,0,0,0
BEN KROMER,Ben,Kromer,,Whitby Warriors,D,1,0,0,0,0,0,0,0,0
MAX TAYLOR,Max,Taylor,,Whitby Warriors,F,1,0,0,0,0,0,0,0,0
BRAEDAN GARDNER,Braedan,Gardner,,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
CY DEERE,Cy,Deere,,Oakville Buzz,F,1,0,0,0,0,0,0,0,0
MATHIS COULLARD,Mathis,Coullard,,Oakville Buzz,D,1,0,0,0,0,0,0,0,0
GARRETTE STONEFISH,Garrette,Stonefish,,Oakville Buzz,D,1,0,0,0,0,0,0,0,0
RYAN CORNFIELD,Ryan,Cornfield,,Kitchener-Waterloo,Ð,1,0,0,0,0,0,0,0,0
JACK LONGMORE,Jack,Longmore,,Peterborough Lakers,F,1,0,0,0,0,0,0,0,0
WES GEEKIE,Wes,Geekie,,Peterborough Lakers,F,1,0,0,0,2,0,0,0,0
NICK D'AMICO,Nick,D'amico,,Burlington Chiefs,Ð,1,0,0,0,0,0,0,0,0
TRAY MILLER,Tray,Miller,,Six Nations Arrows,D,1,0,0,0,0,0,0,0,0
TREY JIMERSON,Trey,Jimerson,,Six Nations Arrows,D,1,0,0,0,0,0,0,0,0
NATHAN MACDONALD,Nathan,Macdonald,,Mimico Mountaineers,Ð,1,0,0,0,0,0,0,0,0
COREY SOMERS,Corey,Somers,,Peterborough Lakers,Ð,1,0,0,0,0,0,0,0,0
KYLE ERVINE,Kyle,Ervine,,Toronto Beaches,Ð,1,0,0,0,0,0,0,0,0
RILEY ROGERS,Riley,Rogers,,Toronto Beaches,Ð,1,0,0,0,0,0,0,0,0
ISAAC HOTRUM,Isaac,Hotrum,,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
BRODIE ROBERTS,Brodie,Roberts,,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
JACK BUCKNELL,Jack,Bucknell,,Toronto Beaches,Ð,1,0,0,0,0,0,0,0,0
CARTER DRYNAN,Carter,Drynan,,Toronto Beaches,Ð,1,0,0,0,0,0,0,0,0
KADEN BRENNAN,Kaden,Brennan,,Kitchener-Waterloo,D,1,0,0,0,0,0,0,0,0
MERRICK SANDS,Merrick,Sands,,Peterborough Lakers,Ð,1,0,0,0,0,0,0,0,0
SCOTT ARSENAULT,Scott,Arsenault,,Peterborough Lakers,Ð,1,0,0,0,0,0,0,0,0
COLE LESTER,Cole,Lester,,Peterborough Lakers,Ð,1,0,0,0,0,0,0,0,0
EASTON MCCAFFERTY,Easton,Mccafferty,,Whitby Warriors,F,1,0,0,0,0,0,0,0,0
COLE BEGLEY AP,Cole,Begley,Ap,Mimico Mountaineers,D,1,0,0,0,0,0,0,0,0
KEAGAN WALTON,Keagan,Walton,,Peterborough Lakers,D,1,0,0,0,2,0,0,0,0
OLIVER HAZELWOOD,Oliver,Hazelwood,,Peterborough Lakers,Ð,1,0,0,0,0,0,0,0,0
REAGAN MARTINELL,Reagan,Martinell,,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
BECKER LIPPERT,Becker,Lippert,,Oakville Buzz,F,1,0,0,0,0,0,0,0,0
COLE BEGLEY AP,Cole,Begley,Ap,Mimico Mountaineers,Ð,1,0,0,0,7,0,0,0,0
BEN BAKER,Ben,Baker,,Brampton Excelsiors,Ð,1,0,0,0,0,0,0,0,0
TAYTON SKYE,Tayton,Skye,,Six Nations Arrows,D,1,0,0,0,2,0,0,0,0
NICK THOMAS,Nick,Thomas,,Brampton Excelsiors,Ð,1,0,0,0,0,0,0,0,0
BENCH PENALTY,Bench,Penalty,,St. Catharines Athletics,Ð,1,0,0,0,2,0,0,0,0
TEISON MCGREGOR,Teison,Mcgregor,,St. Catharines Athletics,D,1,0,0,0,0,0,0,0,0
CAM WHEELDON,Cam,Wheeldon,,Oakville Buzz,Ð,1,0,0,0,0,0,0,0,0
LEYTON SOWDEN,Leyton,Sowden,,Six Nations Arrows,F,1,0,0,0,0,0,0,0,0
BRENDAN BOYLE,Brendan,Boyle,,Burlington Chiefs,Ð,1,0,0,0,17,0,0,0,0
JAKE BARKLEY,Jake,Barkley,,Orangeville Northmen,F,1,0,0,0,0,0,0,0,0
SAM BOWLING,Sam,Bowling,,Kitchener-Waterloo,Ð,1,0,0,0,0,0,0,0,0
MATTHEW HERTNERT,Matthew,Hertnert,,Burlington Chiefs,D,1,0,0,0,4,0,0,0,0
KAYDEN TAPP,Kayden,Tapp,,Kitchener-Waterloo,Ð,1,0,0,0,0,0,0,0,0
CALEB CONNELL,Caleb,Connell,,Peterborough Lakers,T,1,0,0,0,0,0,0,0,0
JACK MOORES,Jack,Moores,,St. Catharines Athletics,D,1,0,0,0,2,0,0,0,0
JOSH MANNING,Josh,Manning,,Kitchener-Waterloo,Ð,1,0,0,0,0,0,0,0,0
OWEN WILLIAMS AP,Owen,Williams,Ap,Mimico Mountaineers,Ð,1,0,0,0,0,0,0,0,0
BAILEY ROLPH,Bailey,Rolph,,Kitchener-Waterloo,D,2,0,0,0,2,0,0,0,0
KALEB PARKHURST,Kaleb,Parkhurst,,Peterborough Lakers,Ð,2,0,0,0,0,0,0,0,0
DUNCAN CARTE,Duncan,Carte,,Burlington Chiefs,D,2,0,0,0,12,0,0,0,0
SHATEKAIENTHON VANDOMMLEN,Shatekaienthon,Vandommlen,,Six Nations Arrows,T,2,0,0,0,5,0,0,0,0
NOLAN CANDY,Nolan,Candy,,Kitchener-Waterloo,Ð,2,0,0,0,0,0,0,0,0
LUCAS RENZETTI,Lucas,Renzetti,,Oakville Buzz,D,2,0,0,0,4,0,0,0,0
PARKER VANDEBOOM,Parker,Vandeboom,,Kitchener-Waterloo,Ð,2,0,0,0,0,0,0,0,0
NOLAN POWER,Nolan,Power,,Oakville Buzz,D,2,0,0,0,0,0,0,0,0
CAL ANDERSON,Cal,Anderson,,Six Nations Arrows,T,2,0,0,0,0,0,0,0,0
ETHAN KELEHER,Ethan,Keleher,,Oakville Buzz,T,2,0,0,0,2,0,0,0,0
JUSTIN BELLEPERCHE,Justin,Belleperche,,Peterborough Lakers,D,2,0,0,0,0,0,0,0,0
RYAN ANDREWS,Ryan,Andrews,,St. Catharines Athletics,D,2,0,0,0,0,0,0,0,0
MICK MILLER,Mick,Miller,,Six Nations Arrows,D,2,0,0,0,0,0,0,0,0
MATT DARROCH,Matt,Darroch,,Oakville Buzz,D,2,0,0,0,2,0,0,0,0
AIDEN ARSENAULT,Aiden,Arsenault,,St. Catharines Athletics,D,2,0,0,0,0,0,0,0,0
LEROY RYAN JAMIESON,Leroy,Ryan,Jamieson,Six Nations Arrows,D,2,0,0,0,2,0,0,0,0
AIDEN OTOOLE,Aiden,Otoole,,Orangeville Northmen,F,2,0,0,0,4,0,0,0,0
TY VAN WART,Ty,Van,Wart,Orangeville Northmen,T,3,0,0,0,2,0,0,0,0
RYAN OLIN,Ryan,Olin,,Whitby Warriors,D,3,0,0,0,4,0,0,0,0
CARTER FROST,Carter,Frost,,Peterborough Lakers,D,3,0,0,0,4,0,0,0,0
TREYTON WEINSTEIN,Treyton,Weinstein,,Kitchener-Waterloo,Ð,3,0,0,0,2,0,0,0,0
MAX BROOK,Max,Brook,,St. Catharines Athletics,"D, F",3,0,0,0,0,0,0,0,0
TYLER FLETCHER,Tyler,Fletcher,,Kitchener-Waterloo,D,3,0,0,0,6,0,0,0,0
ANDREW KIDD,Andrew,Kidd,,Toronto Beaches,Ð,3,0,0,0,0,0,0,0,0
NICK DAMICO,Nick,Damico,,Burlington Chiefs,Ð,3,0,0,0,0,0,0,0,0
SEAN MCMAHON,Sean,Mcmahon,,Toronto Beaches,Ð,3,0,0,0,0,0,0,0,0
COLBY WOOD,Colby,Wood,,Peterborough Lakers,Ð,3,0,0,0,0,0,0,0,0
SHELDON BROUGHTON,Sheldon,Broughton,,Toronto Beaches,Ð,3,0,0,0,0,0,0,0,0
KENNY PORTER,Kenny,Porter,,Six Nations Arrows,T,3,0,0,0,0,0,0,0,0
DEREK KOHUT,Derek,Kohut,,"Six Nations ArrowsÊ,ÊBurlington Chiefs",D,4,0,0,0,2,0,0,0,0
Six Nations Arrows,Six,Nations,Arrows,81,3,0,0,0,0,0,0,0,0,0
Burlington Chiefs,Burlington,Chiefs,,21,1,0,0,0,0,0,0,0,0,2
KAEDEN BURGER,Kaeden,Burger,,Kitchener-Waterloo,Ð,4,0,0,0,0,0,0,0,0
KAEDEN BURGER,Kaeden,Burger,,Kitchener-Waterloo,F,4,0,0,0,2,0,0,0,0
ROBERT MORGAN,Robert,Morgan,,Kitchener-Waterloo,Ð,5,0,0,0,0,0,0,0,0
RYAN BARKER,Ryan,Barker,,Oakville Buzz,D,5,0,0,0,10,0,0,0,0
SHAWN GLOVER-NOAH,Shawn,Glover-noah,,Kitchener-Waterloo,Ð,5,0,0,0,2,0,0,0,0
BRENDAN BOYLE,Brendan,Boyle,,Burlington Chiefs,T,5,0,0,0,2,0,0,0,0
JAKE ARGUE,Jake,Argue,,Orangeville Northmen,D,5,0,0,0,0,0,0,0,0
NICK MCCLURE,Nick,Mcclure,,Brampton Excelsiors,D,7,0,0,0,2,0,0,0,0
CARTER GEOFFROY,Carter,Geoffroy,,St. Catharines Athletics,D,8,0,0,0,8,0,0,0,0
JACOB RAWSON,Jacob,Rawson,,St. Catharines Athletics,D,8,0,0,0,10,0,0,0,0
KYLE MCMILLAN,Kyle,Mcmillan,,Burlington Chiefs,D,8,0,0,0,0,0,0,0,0
KAEL CAREY,Kael,Carey,,Oakville Buzz,T,9,0,0,0,0,0,0,0,0
DAVIS LONGELADE,Davis,Longelade,,St. Catharines Athletics,D,13,0,0,0,33,0,0,0,0
TRENT JACKSON,Trent,Jackson,,Oakville Buzz,D,13,0,0,0,29,0,0,0,0
JAMIE HUNT,Jamie,Hunt,,Orangeville Northmen,D,13,0,0,0,15,0,0,0,0
MICHAEL BILLINGS,Michael,Billings,,Kitchener-Waterloo,D,16,0,0,0,31,0,0,0,0
BENCH PENALTY,Bench,Penalty,,"Toronto BeachesÊ,ÊOakville Buzz",Ð,19,0,0,0,6,0,0,0,0
Toronto Beaches,Toronto,Beaches,,99,18,0,0,0,0,0,0,0,0,4
Oakville Buzz,Oakville,Buzz,,99,1,0,0,0,0,0,0,0,0,2
BENCH PENALTY,Bench,Penalty,,"Burlington ChiefsÊ,ÊPeterborough Lakers",Ð,21,0,0,0,20,0,0,0,0
Burlington Chiefs,Burlington,Chiefs,,99,2,0,0,0,0,0,0,0,0,2
Peterborough Lakers,Peterborough,Lakers,,99,19,0,0,0,0,0,0,0,0,18
BENCH PENALTY,Bench,Penalty,,"Brampton ExcelsiorsÊ,ÊMimico Mountaineers",Ð,36,0,0,0,32,0,0,0,0
Brampton Excelsiors,Brampton,Excelsiors,,"88, 99",16,0,0,0,0,0,0,0,0,10
Mimico Mountaineers,Mimico,Mountaineers,,"88, 99",20,0,0,0,0,0,0,0,0,22
BENCH PENALTY,Bench,Penalty,,"Whitby WarriorsÊ,ÊKitchener-Waterloo",Ð,36,0,0,0,24,0,0,0,0
Whitby Warriors,Whitby,Warriors,,99,19,0,0,0,0,0,0,0,0,12
Kitchener-Waterloo,Kitchener-waterloo,,,99,17,0,0,0,0,0,0,0,0,12
