PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
ISAIAH SKIDDERS,Six Nations Arrows,F,1,0,0,0,0,0,0,0,0
ZACH PIPHER,Whitby Warriors,D,1,0,0,0,2,0,0,0,0
BEN KROMER,Whitby Warriors,D,1,0,0,0,0,0,0,0,0
MAX TAYLOR,Whitby Warriors,F,1,0,0,0,0,0,0,0,0
BRAEDAN GARDNER,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
CY DEERE,Oakville Buzz,F,1,0,0,0,0,0,0,0,0
MATHIS COULLARD,Oakville Buzz,D,1,0,0,0,0,0,0,0,0
GARRETTE STONEFISH,Oakville Buzz,D,1,0,0,0,0,0,0,0,0
RYAN CORNFIELD,Kitchener-Waterloo,–,1,0,0,0,0,0,0,0,0
JACK LONGMORE,Peterborough Lakers,F,1,0,0,0,0,0,0,0,0
WES GEEKIE,Peterborough Lakers,F,1,0,0,0,2,0,0,0,0
NICK D'AMICO,Burlington Chiefs,–,1,0,0,0,0,0,0,0,0
TRAY MILLER,Six Nations Arrows,D,1,0,0,0,0,0,0,0,0
TREY JIMERSON,Six Nations Arrows,D,1,0,0,0,0,0,0,0,0
NATHAN MACDONALD,Mimico Mountaineers,–,1,0,0,0,0,0,0,0,0
COREY SOMERS,Peterborough Lakers,–,1,0,0,0,0,0,0,0,0
KYLE ERVINE,Toronto Beaches,–,1,0,0,0,0,0,0,0,0
RILEY ROGERS,Toronto Beaches,–,1,0,0,0,0,0,0,0,0
ISAAC HOTRUM,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
BRODIE ROBERTS,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
JACK BUCKNELL,Toronto Beaches,–,1,0,0,0,0,0,0,0,0
CARTER DRYNAN,Toronto Beaches,–,1,0,0,0,0,0,0,0,0
KADEN BRENNAN,Kitchener-Waterloo,D,1,0,0,0,0,0,0,0,0
MERRICK SANDS,Peterborough Lakers,–,1,0,0,0,0,0,0,0,0
SCOTT ARSENAULT,Peterborough Lakers,–,1,0,0,0,0,0,0,0,0
COLE LESTER,Peterborough Lakers,–,1,0,0,0,0,0,0,0,0
EASTON MCCAFFERTY,Whitby Warriors,F,1,0,0,0,0,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,D,1,0,0,0,0,0,0,0,0
KEAGAN WALTON,Peterborough Lakers,D,1,0,0,0,2,0,0,0,0
OLIVER HAZELWOOD,Peterborough Lakers,–,1,0,0,0,0,0,0,0,0
REAGAN MARTINELL,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
BECKER LIPPERT,Oakville Buzz,F,1,0,0,0,0,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,–,1,0,0,0,7,0,0,0,0
BEN BAKER,Brampton Excelsiors,–,1,0,0,0,0,0,0,0,0
TAYTON SKYE,Six Nations Arrows,D,1,0,0,0,2,0,0,0,0
NICK THOMAS,Brampton Excelsiors,–,1,0,0,0,0,0,0,0,0
BENCH PENALTY,St. Catharines Athletics,–,1,0,0,0,2,0,0,0,0
TEISON MCGREGOR,St. Catharines Athletics,D,1,0,0,0,0,0,0,0,0
CAM WHEELDON,Oakville Buzz,–,1,0,0,0,0,0,0,0,0
LEYTON SOWDEN,Six Nations Arrows,F,1,0,0,0,0,0,0,0,0
BRENDAN BOYLE,Burlington Chiefs,–,1,0,0,0,17,0,0,0,0
JAKE BARKLEY,Orangeville Northmen,F,1,0,0,0,0,0,0,0,0
SAM BOWLING,Kitchener-Waterloo,–,1,0,0,0,0,0,0,0,0
MATTHEW HERTNERT,Burlington Chiefs,D,1,0,0,0,4,0,0,0,0
KAYDEN TAPP,Kitchener-Waterloo,–,1,0,0,0,0,0,0,0,0
CALEB CONNELL,Peterborough Lakers,T,1,0,0,0,0,0,0,0,0
JACK MOORES,St. Catharines Athletics,D,1,0,0,0,2,0,0,0,0
JOSH MANNING,Kitchener-Waterloo,–,1,0,0,0,0,0,0,0,0
OWEN WILLIAMS AP,Mimico Mountaineers,–,1,0,0,0,0,0,0,0,0
BAILEY ROLPH,Kitchener-Waterloo,D,2,0,0,0,2,0,0,0,0
KALEB PARKHURST,Peterborough Lakers,–,2,0,0,0,0,0,0,0,0
DUNCAN CARTE,Burlington Chiefs,D,2,0,0,0,12,0,0,0,0
SHATEKAIENTHON VANDOMMLEN,Six Nations Arrows,T,2,0,0,0,5,0,0,0,0
NOLAN CANDY,Kitchener-Waterloo,–,2,0,0,0,0,0,0,0,0
LUCAS RENZETTI,Oakville Buzz,D,2,0,0,0,4,0,0,0,0
PARKER VANDEBOOM,Kitchener-Waterloo,–,2,0,0,0,0,0,0,0,0
NOLAN POWER,Oakville Buzz,D,2,0,0,0,0,0,0,0,0
CAL ANDERSON,Six Nations Arrows,T,2,0,0,0,0,0,0,0,0
ETHAN KELEHER,Oakville Buzz,T,2,0,0,0,2,0,0,0,0
JUSTIN BELLEPERCHE,Peterborough Lakers,D,2,0,0,0,0,0,0,0,0
RYAN ANDREWS,St. Catharines Athletics,D,2,0,0,0,0,0,0,0,0
MICK MILLER,Six Nations Arrows,D,2,0,0,0,0,0,0,0,0
MATT DARROCH,Oakville Buzz,D,2,0,0,0,2,0,0,0,0
AIDEN ARSENAULT,St. Catharines Athletics,D,2,0,0,0,0,0,0,0,0
LEROY RYAN JAMIESON,Six Nations Arrows,D,2,0,0,0,2,0,0,0,0
AIDEN OTOOLE,Orangeville Northmen,F,2,0,0,0,4,0,0,0,0
TY VAN WART,Orangeville Northmen,T,3,0,0,0,2,0,0,0,0
RYAN OLIN,Whitby Warriors,D,3,0,0,0,4,0,0,0,0
CARTER FROST,Peterborough Lakers,D,3,0,0,0,4,0,0,0,0
TREYTON WEINSTEIN,Kitchener-Waterloo,–,3,0,0,0,2,0,0,0,0
MAX BROOK,St. Catharines Athletics,"D, F",3,0,0,0,0,0,0,0,0
TYLER FLETCHER,Kitchener-Waterloo,D,3,0,0,0,6,0,0,0,0
ANDREW KIDD,Toronto Beaches,–,3,0,0,0,0,0,0,0,0
NICK DAMICO,Burlington Chiefs,–,3,0,0,0,0,0,0,0,0
SEAN MCMAHON,Toronto Beaches,–,3,0,0,0,0,0,0,0,0
COLBY WOOD,Peterborough Lakers,–,3,0,0,0,0,0,0,0,0
SHELDON BROUGHTON,Toronto Beaches,–,3,0,0,0,0,0,0,0,0
KENNY PORTER,Six Nations Arrows,T,3,0,0,0,0,0,0,0,0
DEREK KOHUT,"Six Nations Arrows , Burlington Chiefs",D,4,0,0,0,2,0,0,0,0
Six Nations Arrows,81,3,0,0,0,0,0,0,0,0,0
Burlington Chiefs,21,1,0,0,0,0,0,0,0,0,2
KAEDEN BURGER,Kitchener-Waterloo,–,4,0,0,0,0,0,0,0,0
KAEDEN BURGER,Kitchener-Waterloo,F,4,0,0,0,2,0,0,0,0
ROBERT MORGAN,Kitchener-Waterloo,–,5,0,0,0,0,0,0,0,0
RYAN BARKER,Oakville Buzz,D,5,0,0,0,10,0,0,0,0
SHAWN GLOVER-NOAH,Kitchener-Waterloo,–,5,0,0,0,2,0,0,0,0
BRENDAN BOYLE,Burlington Chiefs,T,5,0,0,0,2,0,0,0,0
JAKE ARGUE,Orangeville Northmen,D,5,0,0,0,0,0,0,0,0
NICK MCCLURE,Brampton Excelsiors,D,7,0,0,0,2,0,0,0,0
CARTER GEOFFROY,St. Catharines Athletics,D,8,0,0,0,8,0,0,0,0
JACOB RAWSON,St. Catharines Athletics,D,8,0,0,0,10,0,0,0,0
KYLE MCMILLAN,Burlington Chiefs,D,8,0,0,0,0,0,0,0,0
KAEL CAREY,Oakville Buzz,T,9,0,0,0,0,0,0,0,0
DAVIS LONGELADE,St. Catharines Athletics,D,13,0,0,0,33,0,0,0,0
TRENT JACKSON,Oakville Buzz,D,13,0,0,0,29,0,0,0,0
JAMIE HUNT,Orangeville Northmen,D,13,0,0,0,15,0,0,0,0
MICHAEL BILLINGS,Kitchener-Waterloo,D,16,0,0,0,31,0,0,0,0
BENCH PENALTY,"Toronto Beaches , Oakville Buzz",–,19,0,0,0,6,0,0,0,0
Toronto Beaches,99,18,0,0,0,0,0,0,0,0,4
Oakville Buzz,99,1,0,0,0,0,0,0,0,0,2
BENCH PENALTY,"Burlington Chiefs , Peterborough Lakers",–,21,0,0,0,20,0,0,0,0
Burlington Chiefs,99,2,0,0,0,0,0,0,0,0,2
Peterborough Lakers,99,19,0,0,0,0,0,0,0,0,18
BENCH PENALTY,"Brampton Excelsiors , Mimico Mountaineers",–,36,0,0,0,32,0,0,0,0
Brampton Excelsiors,"88, 99",16,0,0,0,0,0,0,0,0,10
Mimico Mountaineers,"88, 99",20,0,0,0,0,0,0,0,0,22
BENCH PENALTY,"Whitby Warriors , Kitchener-Waterloo",–,36,0,0,0,24,0,0,0,0
Whitby Warriors,99,19,0,0,0,0,0,0,0,0,12
Kitchener-Waterloo,99,17,0,0,0,0,0,0,0,0,12
