PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
DAYLIN JOHN-HILL,Six Nations Arrows,F,15,12,20,32,18,1,7,0,0
ETHAN HARKINS,Brampton Excelsiors,F,20,11,21,32,2,2,4,1,1
RILEY FORD,Kitchener-Waterloo,–,18,9,23,32,2,2,3,1,5
COLE TEEPLE,Orangeville Northmen,F,19,7,25,32,6,0,5,0,1
CHUCK RAWSON,Burlington Chiefs,–,10,7,24,31,4,2,3,0,1
MITCHELL VANEVERY,Six Nations Arrows,F,19,15,15,30,2,5,5,1,0
MICHAEL ANDERSSON,Whitby Warriors,F,11,12,18,30,0,4,3,0,4
MICHAEL BLAYMIRES,Peterborough Lakers,F,15,12,18,30,2,1,6,1,0
GEORGE PITT,Burlington Chiefs,F,13,10,20,30,6,3,2,0,0
LUKE DAWICK,Oakville Buzz,F,17,9,21,30,0,4,9,1,1
CAM SANDERSON,Orangeville Northmen,F,11,7,23,30,4,3,3,1,0
JAKE DAWICK,Oakville Buzz,F,14,7,23,30,6,0,6,1,2
CHRIS RATHWELL,Kitchener-Waterloo,–,14,15,13,28,6,2,5,2,1
ZACH MILLER,Toronto Beaches,–,14,9,19,28,6,1,1,2,2
ALEX GASTON,Toronto Beaches,F,12,13,13,26,19,0,1,1,1
SHANE HALLIWELL,Kitchener-Waterloo,–,9,11,15,26,23,0,5,4,3
LOWEN MARTIN,Kitchener-Waterloo,–,14,11,15,26,6,5,5,0,1
JACK BUDWAY,Whitby Warriors,F,13,7,19,26,6,1,5,0,1
ALEX ROUSSEL AP,Mimico Mountaineers,F,14,9,16,25,8,3,4,1,3
EFRAIN BARRETO,St. Catharines Athletics,F,13,3,22,25,21,1,8,0,1
XAVIER TAYLOR,St. Catharines Athletics,F,11,16,7,23,15,4,1,1,0
ALEXANDER MARINIER,Burlington Chiefs,D,6,12,11,23,4,2,4,0,1
NICK DILAURO,Peterborough Lakers,"F, T",15,11,12,23,0,1,2,0,1
ONENIOTEKOWA MARACLE,Six Nations Arrows,F,10,11,11,22,11,1,0,1,0
RYAN BROOKS,Kitchener-Waterloo,–,14,11,11,22,2,2,5,1,0
MASON HILL,Six Nations Arrows,"D, F",20,6,16,22,14,3,6,0,2
TYLER HENDRYCKS,Peterborough Lakers,F,13,12,9,21,8,2,4,0,0
JAKE DARLISON,Whitby Warriors,D,18,7,13,20,10,0,0,0,1
