PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
MICHAEL BLAYMIRES,Peterborough Lakers,11,F,14,10,17,27,1,6,0,0,0,1
NICK DILAURO,Peterborough Lakers,12,"F, T",14,10,11,21,1,2,0,1,0,0
JACK OLDMAN,Whitby Warriors,42,F,16,10,8,18,0,0,0,0,11,0
JOSH ROSA,Kitchener-Waterloo,3,F,7,10,7,17,2,1,4,2,0,1
HUGH KELLEHER,Oakville Buzz,2,T,8,10,2,12,1,0,2,0,4,0
RILEY FORD,Kitchener-Waterloo,8,–,18,9,23,32,2,3,1,5,2,0
ZACH MILLER,Toronto Beaches,5,–,14,9,19,28,1,1,2,2,6,0
LUKE DAWICK,Oakville Buzz,11,F,16,9,19,28,4,8,1,0,0,0
ALEX ROUSSEL AP,Mimico Mountaineers,3,F,13,9,13,22,3,4,1,3,8,1
BROOKS ENGLISH,Burlington Chiefs,"10, 15, 25",F,13,8,29,37,0,8,0,0,0,1
COHEN JENNINGS,Orangeville Northmen,17,T,18,8,8,16,3,1,0,0,6,0
CODY COULSON,Orangeville Northmen,33,F,10,8,6,14,2,3,0,0,4,0
JACK TRAVASSOS,Burlington Chiefs,17,T,18,8,5,13,0,0,1,0,16,0
RILEY KNOX,Whitby Warriors,21,F,17,7,24,31,2,3,2,1,10,0
COLE TEEPLE,Orangeville Northmen,14,F,18,7,23,30,0,5,0,1,6,0
JAKE DAWICK,Oakville Buzz,"22, 4, 66",F,13,7,22,29,0,6,1,2,6,0
CAM SANDERSON,Orangeville Northmen,19,F,10,7,20,27,3,3,1,0,4,1
JACK BUDWAY,Whitby Warriors,10,F,12,7,19,26,1,5,0,1,6,0
LUCAS LITTLEJOHN,Whitby Warriors,23,F,13,7,9,16,0,1,1,0,2,1
REED KURTZ,Mimico Mountaineers,27,T,16,7,8,15,1,0,0,0,2,0
OWEN TAPPER,Whitby Warriors,9,T,17,7,6,13,0,0,0,0,20,0
BEN TRUMBLE,Peterborough Lakers,17,T,15,7,5,12,3,1,1,1,10,0
MASON HILL,Six Nations Arrows,7,"D, F",18,6,14,20,3,6,0,2,14,0
JAKE DARLISON,Whitby Warriors,7,D,17,6,13,19,0,0,0,1,10,0
JACOB POWER,Burlington Chiefs,"10, 14, 5, 7",F,9,6,12,18,5,2,0,0,14,1
MALIKYE GOOD,Oakville Buzz,"7, 88",F,7,6,10,16,0,4,0,0,0,0
NICK CROWLEY,Peterborough Lakers,7,D,15,6,9,15,0,1,0,1,18,0
DYLAN ROBINSON,Toronto Beaches,91,–,18,6,9,15,0,0,1,0,29,0
CARTER ACCURSI,St. Catharines Athletics,44,F,13,6,7,13,0,0,1,0,0,0
GREG PALMER,Toronto Beaches,"2, 3",–,7,6,6,12,0,0,0,1,7,0
ZANE DALPE,Kitchener-Waterloo,12,–,3,6,5,11,2,0,0,0,0,1
DANTE BOWEN,Brampton Excelsiors,23,D,14,6,4,10,2,0,1,0,13,0
DAVID PETERKIN,Toronto Beaches,"24, 3",F,14,6,3,9,1,0,0,0,8,0
CHUCK RAWSON,Burlington Chiefs,3,–,9,5,21,26,1,3,0,0,4,0
TRISTEN DEMPERS,Whitby Warriors,11,D,17,5,11,16,1,0,0,0,20,0
AMOS WHITCOMB,Oakville Buzz,71,F,6,5,9,14,1,3,0,1,0,1
RYCOL DAVIS,Six Nations Arrows,17,D,16,5,9,14,0,1,1,0,38,0
CURTIS GODDARD,Oakville Buzz,10,T,18,5,9,14,0,2,0,0,16,0
MATTHEW ACCHIONE,Toronto Beaches,9,F,11,5,7,12,0,3,1,0,4,0
ALEXIS SIMARD,Burlington Chiefs,"10, 22, 25, 4",T,18,5,6,11,0,1,0,1,39,1
LIAM KEANE,Brampton Excelsiors,91,F,12,5,5,10,0,2,0,0,4,0
MATT HAMILL,Six Nations Arrows,15,"F, T",13,5,4,9,0,0,1,0,2,0
JOSH FAIREY,Toronto Beaches,19,D,16,5,4,9,0,0,0,1,8,0
SAM DRAMITZKE,Kitchener-Waterloo,5,–,4,5,3,8,1,1,0,2,0,1
ANDREW DALTON,Toronto Beaches,12,T,9,5,3,8,0,0,0,0,13,0
OWEN VANLOON,Six Nations Arrows,97,T,10,5,2,7,1,1,0,1,8,0
TOM COLLINS,Peterborough Lakers,19,T,14,5,1,6,3,0,0,0,20,1
LUCAS FERRIERA,Brampton Excelsiors,17,F,7,4,15,19,3,2,1,3,2,0
MARK WATTERS ,Mimico Mountaineers,19,–,8,4,14,18,0,6,0,0,0,0
SCOTT REED,Whitby Warriors,17,T,18,4,9,13,0,0,0,3,33,0
JAKE WRIGHT,Oakville Buzz,7,F,10,4,6,10,0,4,1,0,14,0
OWEN RAHN,Orangeville Northmen,18,T,16,4,5,9,0,1,1,0,35,0
NATE RUFF,Orangeville Northmen,16,T,18,4,5,9,1,0,0,0,8,0
JUSTIN PORGA,St. Catharines Athletics,"27, 40",F,2,4,4,8,1,0,1,4,0,0
ZACH COULMAN,Oakville Buzz,12,D,17,4,4,8,1,2,0,1,34,0
DONNY SCOTT,Orangeville Northmen,23,D,13,4,1,5,0,0,0,0,19,0
COLIN MATTHEWS,Burlington Chiefs,8,–,13,4,1,5,1,0,0,0,2,0
EFRAIN BARRETO,St. Catharines Athletics,47,F,13,3,22,25,1,8,0,1,21,0
CARTER BEGLEY AP,Mimico Mountaineers,9,F,8,3,10,13,1,3,0,1,2,0
GAVIIN SNOW,St. Catharines Athletics,23,"F, T",8,3,10,13,0,6,0,1,2,0
BRYCE CORDINGLEY,Mimico Mountaineers,14,T,15,3,10,13,1,1,1,2,59,0
TAYLOR DOOLEY,Toronto Beaches,17,D,19,3,9,12,1,2,1,0,23,0
TY MYERS,Six Nations Arrows,5,"D, F",7,3,8,11,1,2,0,0,2,0
LIAM MCGRATH,Orangeville Northmen,22,T,17,3,7,10,0,0,0,0,23,0
