PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
JAKE DOOLITTLE,Whitby Warriors,13,D,17,0,2,2,0,0,0,1,8,0
TY CARTY,Brampton Excelsiors,3,D,18,0,2,2,0,0,0,2,9,0
LIAM BUCKNELL,Toronto Beaches,24,–,1,0,1,1,0,1,0,0,2,0
CURTIS WARD,Brampton Excelsiors,91,–,1,0,1,1,0,0,0,0,0,0
MATT PERREIRA,Brampton Excelsiors,91,F,1,0,1,1,0,0,0,0,0,0
CHUCK RAWSON,Burlington Chiefs,3,–,1,0,1,1,0,0,0,0,0,0
CARTER TAITE,Peterborough Lakers,3,–,1,0,1,1,0,0,0,0,0,0
JAMESON STEELE,Oakville Buzz,8,F,1,0,1,1,0,0,0,0,0,0
NOLAN BYRNE,Peterborough Lakers,26,–,1,0,1,1,0,1,0,0,0,0
DEELAND MARTIN,Six Nations Arrows,88,F,1,0,1,1,0,0,0,1,0,0
NOBLE STONEFISH,Six Nations Arrows,6,D,1,0,1,1,0,0,0,0,2,0
KAYMEN DIABO,Orangeville Northmen,24,F,1,0,1,1,0,0,0,0,0,0
CODY INNES,Burlington Chiefs,"14, 26",–,2,0,1,1,0,0,0,0,0,0
SAM ALBERT,Peterborough Lakers,"19, 25",–,2,0,1,1,0,1,0,0,0,0
ZACH SHEPPARD,Whitby Warriors,32,D,2,0,1,1,0,0,0,0,2,0
MASON BLACKTOPP,Toronto Beaches,4,–,2,0,1,1,0,0,0,0,0,0
LANDON SINFIELD,Peterborough Lakers,29,–,3,0,1,1,0,0,0,0,0,0
CHRIS WONG,St. Catharines Athletics,50,F,3,0,1,1,0,0,0,0,0,0
JACOB KELLER AP,Mimico Mountaineers,7,T,3,0,1,1,0,0,0,1,0,0
BEN MCISAAC ,Mimico Mountaineers,"21, 42",T,4,0,1,1,0,0,0,0,0,0
BRYDEN PITT AP,Mimico Mountaineers,"23, 55, 7",T,4,0,1,1,0,0,0,0,0,0
KEITH GREEN,Six Nations Arrows,79,T,6,0,1,1,0,0,0,0,10,0
HAYDEN HILTZ,Burlington Chiefs,"10, 20, 23, 24",–,6,0,1,1,0,0,0,0,0,0
GRAYDON STOKES,Orangeville Northmen,6,D,6,0,1,1,0,0,0,0,8,0
BRODY THOMAS,Six Nations Arrows,24,T,6,0,1,1,0,0,0,0,2,0
LOGAN FLETCHER,St. Catharines Athletics,"10, 50",T,7,0,1,1,0,0,0,0,2,0
MATT SCHELL,Toronto Beaches,"13, 4, 48, 5",–,7,0,1,1,0,1,0,0,8,0
CALLUM MCLEOD,Whitby Warriors,6,D,8,0,1,1,0,1,0,0,2,0
JAMES GOWLAND,Six Nations Arrows,18,D,8,0,1,1,0,1,0,0,10,0
AIDEN FEARN,Six Nations Arrows,39,D,16,0,1,1,0,0,0,0,21,0
OWEN CIAVOLEILLO,Brampton Excelsiors,77,D,17,0,1,1,0,0,0,0,4,0
CADEN HEWITT,Toronto Beaches,21,–,18,0,1,1,0,0,0,0,12,0
DANNY NEILSON,Peterborough Lakers,21,D,1,0,0,0,0,0,0,0,0,0
ETHAN KELEHER,Oakville Buzz,8,T,1,0,0,0,0,0,0,0,0,0
BRAEDAN GARDNER,Peterborough Lakers,20,D,1,0,0,0,0,0,0,0,0,0
JACK LONGMORE,Peterborough Lakers,15,F,1,0,0,0,0,0,0,0,0,0
WES GEEKIE,Peterborough Lakers,19,F,1,0,0,0,0,0,0,0,2,0
ISAIAH SKIDDERS,Six Nations Arrows,2,F,1,0,0,0,0,0,0,0,0,0
COREY SOMERS,Peterborough Lakers,27,–,1,0,0,0,0,0,0,0,0,0
KEAGAN WALTON,Peterborough Lakers,12,D,1,0,0,0,0,0,0,0,2,0
TREY JIMERSON,Six Nations Arrows,49,D,1,0,0,0,0,0,0,0,0,0
TRAY MILLER,Six Nations Arrows,72,D,1,0,0,0,0,0,0,0,0,0
NICK D'AMICO,Burlington Chiefs,15,–,1,0,0,0,0,0,0,0,0,0
KYLE ERVINE,Toronto Beaches,18,–,1,0,0,0,0,0,0,0,0,0
RILEY ROGERS,Toronto Beaches,24,–,1,0,0,0,0,0,0,0,0,0
BRENDAN BOYLE,Burlington Chiefs,9,–,1,0,0,0,0,0,0,0,17,0
ISAAC HOTRUM,Peterborough Lakers,11,D,1,0,0,0,0,0,0,0,0,0
BRODIE ROBERTS,Peterborough Lakers,3,D,1,0,0,0,0,0,0,0,0,0
JACK BUCKNELL,Toronto Beaches,22,–,1,0,0,0,0,0,0,0,0,0
CARTER DRYNAN,Toronto Beaches,48,–,1,0,0,0,0,0,0,0,0,0
ZACH PIPHER,Whitby Warriors,33,D,1,0,0,0,0,0,0,0,2,0
KADEN BRENNAN,Kitchener-Waterloo,11,D,1,0,0,0,0,0,0,0,0,0
BEN KROMER,Whitby Warriors,20,D,1,0,0,0,0,0,0,0,0,0
MERRICK SANDS,Peterborough Lakers,11,–,1,0,0,0,0,0,0,0,0,0
SCOTT ARSENAULT,Peterborough Lakers,18,–,1,0,0,0,0,0,0,0,0,0
COLE LESTER,Peterborough Lakers,20,–,1,0,0,0,0,0,0,0,0,0
EASTON MCCAFFERTY,Whitby Warriors,32,F,1,0,0,0,0,0,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,9,D,1,0,0,0,0,0,0,0,0,0
MAX TAYLOR,Whitby Warriors,10,F,1,0,0,0,0,0,0,0,0,0
OLIVER HAZELWOOD,Peterborough Lakers,28,–,1,0,0,0,0,0,0,0,0,0
REAGAN MARTINELL,Peterborough Lakers,9,D,1,0,0,0,0,0,0,0,0,0
BECKER LIPPERT,Oakville Buzz,3,F,1,0,0,0,0,0,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,45,–,1,0,0,0,0,0,0,0,7,0
BEN BAKER,Brampton Excelsiors,15,–,1,0,0,0,0,0,0,0,0,0
TAYTON SKYE,Six Nations Arrows,81,D,1,0,0,0,0,0,0,0,2,0
NICK THOMAS,Brampton Excelsiors,28,–,1,0,0,0,0,0,0,0,0,0
TEISON MCGREGOR,St. Catharines Athletics,23,D,1,0,0,0,0,0,0,0,0,0
CAM WHEELDON,Oakville Buzz,17,–,1,0,0,0,0,0,0,0,0,0
LEYTON SOWDEN,Six Nations Arrows,79,F,1,0,0,0,0,0,0,0,0,0
CALEB CONNELL,Peterborough Lakers,20,T,1,0,0,0,0,0,0,0,0,0
CY DEERE,Oakville Buzz,6,F,1,0,0,0,0,0,0,0,0,0
SAM BOWLING,Kitchener-Waterloo,25,–,1,0,0,0,0,0,0,0,0,0
MATHIS COULLARD,Oakville Buzz,3,D,1,0,0,0,0,0,0,0,0,0
MATTHEW HERTNERT,Burlington Chiefs,22,D,1,0,0,0,0,0,0,0,4,0
KAYDEN TAPP,Kitchener-Waterloo,4,–,1,0,0,0,0,0,0,0,0,0
OWEN WILLIAMS AP,Mimico Mountaineers,25,–,1,0,0,0,0,0,0,0,0,0
JACK MOORES,St. Catharines Athletics,10,D,1,0,0,0,0,0,0,0,2,0
GARRETTE STONEFISH,Oakville Buzz,21,D,1,0,0,0,0,0,0,0,0,0
JOSH MANNING,Kitchener-Waterloo,24,–,1,0,0,0,0,0,0,0,0,0
RYAN CORNFIELD,Kitchener-Waterloo,21,–,1,0,0,0,0,0,0,0,0,0
NATHAN MACDONALD,Mimico Mountaineers,13,–,1,0,0,0,0,0,0,0,0,0
MICK MILLER,Six Nations Arrows,79,D,2,0,0,0,0,0,0,0,0,0
PARKER VANDEBOOM,Kitchener-Waterloo,28,–,2,0,0,0,0,0,0,0,0,0
LEROY RYAN JAMIESON,Six Nations Arrows,88,D,2,0,0,0,0,0,0,0,2,0
BAILEY ROLPH,Kitchener-Waterloo,"23, 29",D,2,0,0,0,0,0,0,0,2,0
JUSTIN BELLEPERCHE,Peterborough Lakers,"21, 7",D,2,0,0,0,0,0,0,0,0,0
MATT DARROCH,Oakville Buzz,"15, 3",D,2,0,0,0,0,0,0,0,2,0
NOLAN CANDY,Kitchener-Waterloo,"22, 25",–,2,0,0,0,0,0,0,0,0,0
NOLAN POWER,Oakville Buzz,"3, 5",D,2,0,0,0,0,0,0,0,0,0
DUNCAN CARTE,Burlington Chiefs,21,D,2,0,0,0,0,0,0,0,12,0
LUCAS RENZETTI,Oakville Buzz,"13, 66",D,2,0,0,0,0,0,0,0,4,0
RYAN ANDREWS,St. Catharines Athletics,"3, 43",D,2,0,0,0,0,0,0,0,0,0
AIDEN OTOOLE,Orangeville Northmen,76,F,2,0,0,0,0,0,0,0,4,0
SHATEKAIENTHON VANDOMMLEN,Six Nations Arrows,5,T,2,0,0,0,0,0,0,0,5,0
KALEB PARKHURST,Peterborough Lakers,3,–,2,0,0,0,0,0,0,0,0,0
AIDEN ARSENAULT,St. Catharines Athletics,27,D,2,0,0,0,0,0,0,0,0,0
MAX BROOK,St. Catharines Athletics,"06, 27, 44","D, F",3,0,0,0,0,0,0,0,0,0
SHELDON BROUGHTON,Toronto Beaches,"18, 22",–,3,0,0,0,0,0,0,0,0,0
RYAN OLIN,Whitby Warriors,33,D,3,0,0,0,0,0,0,0,4,0
SEAN MCMAHON,Toronto Beaches,12,–,3,0,0,0,0,0,0,0,0,0
ANDREW KIDD,Toronto Beaches,"1, 29, 30",–,3,0,0,0,0,0,0,0,0,0
CARTER FROST,Peterborough Lakers,"15, 29, 8",D,3,0,0,0,0,0,0,0,4,0
KENNY PORTER,Six Nations Arrows,6,T,3,0,0,0,0,0,0,0,0,0
COLBY WOOD,Peterborough Lakers,5,–,3,0,0,0,0,0,0,0,0,0
TYLER FLETCHER,Kitchener-Waterloo,"12, 26",D,3,0,0,0,0,0,0,0,6,0
TREYTON WEINSTEIN,Kitchener-Waterloo,"11, 12",–,3,0,0,0,0,0,0,0,2,0
TY VAN WART,Orangeville Northmen,20,T,3,0,0,0,0,0,0,0,2,0
NICK DAMICO,Burlington Chiefs,"22, 24",–,3,0,0,0,0,0,0,0,0,0
DEREK KOHUT,"Six Nations Arrows , Burlington Chiefs","81, 21",D,4,0,0,0,0,0,0,0,2,0
Six Nations Arrows,81,D,3,0,0,0,0,0,0,0,0,0,
Burlington Chiefs,21,–,1,0,0,0,0,0,0,0,2,0,
KAEDEN BURGER,Kitchener-Waterloo,"11, 25, 45",F,4,0,0,0,0,0,0,0,2,0
KAEDEN BURGER,Kitchener-Waterloo,"14, 21, 4",–,4,0,0,0,0,0,0,0,0,0
RYAN BARKER,Oakville Buzz,"17, 22, 8",D,5,0,0,0,0,0,0,0,10,0
ROBERT MORGAN,Kitchener-Waterloo,14,–,5,0,0,0,0,0,0,0,0,0
JAKE ARGUE,Orangeville Northmen,3,D,5,0,0,0,0,0,0,0,0,0
NICK MCCLURE,Brampton Excelsiors,"22, 42, 91",D,5,0,0,0,0,0,0,0,2,0
SHAWN GLOVER-NOAH,Kitchener-Waterloo,"26, 4",–,5,0,0,0,0,0,0,0,2,0
BRENDAN BOYLE,Burlington Chiefs,9,T,5,0,0,0,0,0,0,0,2,0
JACOB RAWSON,St. Catharines Athletics,88,D,7,0,0,0,0,0,0,0,8,0
CARTER GEOFFROY,St. Catharines Athletics,"27, 40, 44, 50",D,8,0,0,0,0,0,0,0,8,0
KYLE MCMILLAN,Burlington Chiefs,"12, 18, 22, 25, 9",D,8,0,0,0,0,0,0,0,0,0
KAEL CAREY,Oakville Buzz,"15, 8, 88",T,9,0,0,0,0,0,0,0,0,0
CARTER SCHOTT,Whitby Warriors,4,D,11,0,0,0,0,0,0,0,25,0
JAMIE HUNT,Orangeville Northmen,28,D,12,0,0,0,0,0,0,0,13,0
TRENT JACKSON,Oakville Buzz,45,D,12,0,0,0,0,0,0,0,27,0
DAVIS LONGELADE,St. Catharines Athletics,43,D,12,0,0,0,0,0,0,0,33,0
TRENT ROBERTSON,Brampton Excelsiors,12,D,15,0,0,0,0,0,0,0,79,0
MICHAEL BILLINGS,Kitchener-Waterloo,"12, 6",D,16,0,0,0,0,0,0,0,31,0
RILEY DELILL,Brampton Excelsiors,9,D,18,0,0,0,0,0,0,0,48,0
BENCH PENALTY,"Toronto Beaches , Oakville Buzz",99,–,19,0,0,0,0,0,0,0,6,0
Toronto Beaches,99,–,18,0,0,0,0,0,0,0,4,0,
Oakville Buzz,99,–,1,0,0,0,0,0,0,0,2,0,
BENCH PENALTY,"Burlington Chiefs , Peterborough Lakers",99,–,19,0,0,0,0,0,0,0,16,0
Burlington Chiefs,99,–,1,0,0,0,0,0,0,0,2,0,
Peterborough Lakers,99,–,18,0,0,0,0,0,0,0,14,0,
BENCH PENALTY,"Brampton Excelsiors , Mimico Mountaineers","88, 99",–,32,0,0,0,0,0,0,0,28,0
Brampton Excelsiors,"88, 99",–,14,0,0,0,0,0,0,0,10,0,
Mimico Mountaineers,"88, 99",–,18,0,0,0,0,0,0,0,18,0,
BENCH PENALTY,"Whitby Warriors , Kitchener-Waterloo",99,–,35,0,0,0,0,0,0,0,24,0
Whitby Warriors,99,–,18,0,0,0,0,0,0,0,12,0,
Kitchener-Waterloo,99,–,17,0,0,0,0,0,0,0,12,0,
Powered by Gamesheet Inc.,,,,,,,,,,,,,
