state.name,barber_shops_percapita
Illinois,122.43148036013419
Georgia,120.50472517174471
Nevada,92.82153697407733
Louisiana,82.72900498570887
Mississippi,73.64499261086281
Alabama,49.65978973556569
Tennessee,48.773558196438294
Arkansas,48.746609596286554
Florida,43.51360700914673
Texas,41.135609016019075
South Carolina,40.65671021962813
Michigan,38.287678944871615
Ohio,38.12537432417587
Indiana,37.975633593465744
Delaware,36.886861519400796
California,34.66253723418213
Missouri,31.95207406104128
Maryland,30.997821509544853
Wisconsin,29.1086811889442
Arizona,28.35107121321652
New York,28.083304963414463
Pennsylvania,24.724062352999155
North Carolina,22.64813068423835
Connecticut,22.453288523989897
Rhode Island,21.944206225092064
Kansas,21.77733775403696
New Jersey,21.55841228979529
Iowa,21.369325711607164
Virginia,20.601743542656276
Oklahoma,20.442034320765828
Kentucky,19.34839502376001
Minnesota,18.944992440432006
Massachusetts,17.846652190381114
Nebraska,16.250902217882143
North Dakota,13.99513181996946
Colorado,13.435446003902184
Alaska,12.617797497532939
New Mexico,12.297114321727264
South Dakota,11.568483074840268
Maine,11.552875538899377
Washington,11.164155112146506
Idaho,10.898869959272643
Oregon,10.674434336839306
Utah,10.546901182435763
New Hampshire,10.232544037837675
West Virginia,10.109750052117505
Hawaii,9.426644016535905
Montana,7.999596328062215
Wyoming,7.8457434534193595
Vermont,3.8320280907827624
District of Columbia,NA
Puerto Rico,NA
